datetime,date,type,price,shares,cost,position_size,anomaly_types,severity,symbol,reason,proceeds,entry_price,profit,profit_pct
2025-10-30 09:30:00,2025-10-30,BUY,533.47,1.8745,1000.0,1000.0,"volume_spike, volatility_spike, gap_down",3.02,MSFT,,,,,
2025-11-06 09:30:00,2025-11-06,SELL,503.46,1.8745,,,,,MSFT,STOP_LOSS,943.75,533.47,-56.25,-5.63
2025-11-06 09:30:00,2025-11-06,BUY,503.46,1.1917,600.0,600.0,oversold,2.42,MSFT,,,,,
2025-11-04 09:30:00,2025-11-04,BUY,278.68,3.5883,1000.0,1000.0,"rsi_overbought, gap_down",1.63,GOOGL,,,,,
2025-11-10 09:30:00,2025-11-10,SELL,284.02,0.8971,,,,,GOOGL,OVERBOUGHT,254.79,278.68,4.79,1.92
2025-10-14 14:45:00,2025-10-14,BUY,217.39,4.6,1000.0,1000.0,gap_down,1.02,AMZN,,,,,
2025-10-31 09:30:00,2025-10-31,SELL,247.4,1.15,,,,,AMZN,OVERBOUGHT,284.51,217.39,34.51,13.8
2025-11-03 09:30:00,2025-11-03,SELL,258.36,0.8625,,,,,AMZN,OVERBOUGHT,222.84,217.39,35.34,18.85
2025-11-06 10:35:00,2025-11-06,SELL,245.35,2.5875,,,,,AMZN,TRAILING_STOP,634.85,217.39,72.35,12.86
2025-10-14 14:45:00,2025-10-14,BUY,182.25,5.4871,1000.0,1000.0,extreme_drop,1.47,NVDA,,,,,
2025-10-28 09:30:00,2025-10-28,SELL,195.29,1.3718,,,,,NVDA,OVERBOUGHT,267.89,182.25,17.89,7.16
2025-10-29 09:30:00,2025-10-29,SELL,210.79,1.0288,,,,,NVDA,OVERBOUGHT,216.87,182.25,29.37,15.66
2025-11-03 09:30:00,2025-11-03,SELL,208.42,0.7716,,,,,NVDA,OVERBOUGHT,160.82,182.25,20.2,14.36
2025-11-04 09:30:00,2025-11-04,SELL,201.22,2.3149,,,,,NVDA,TRAILING_STOP,465.8,182.25,43.92,10.41
2025-11-04 09:30:00,2025-11-04,BUY,201.22,5.9636,1200.0,1200.0,extreme_drop,1.32,NVDA,,,,,
2025-11-06 09:55:00,2025-11-06,SELL,193.62,5.9636,,,,,NVDA,TRAILING_STOP,1154.65,201.22,-45.35,-3.78
2025-11-06 09:55:00,2025-11-06,BUY,193.62,5.1649,1000.0,1000.0,extreme_drop,1.22,NVDA,,,,,
2025-11-07 09:35:00,2025-11-07,SELL,182.22,5.1649,,,,,NVDA,STOP_LOSS,941.14,193.62,-58.86,-5.89
2025-10-30 09:30:00,2025-10-30,BUY,660.0,1.5152,1000.0,1000.0,"extreme_drop, volume_spike, volatility_spike, oversold, gap_down",15.31,META,,,,,
2025-11-03 13:10:00,2025-11-03,SELL,644.61,1.5152,,,,,META,TRAILING_STOP,976.69,660.0,-23.31,-2.33
2025-11-03 13:10:00,2025-11-03,BUY,644.61,0.9308,600.0,600.0,"rsi_oversold, oversold",3.29,META,,,,,
2025-11-07 09:30:00,2025-11-07,SELL,612.83,0.9308,,,,,META,TRAILING_STOP,570.41,644.61,-29.59,-4.93
2025-11-07 09:30:00,2025-11-07,BUY,612.83,0.9791,600.0,600.0,rsi_oversold,1.21,META,,,,,
2025-10-14 14:45:00,2025-10-14,BUY,432.98,2.3096,1000.0,1000.0,gap_down,1.04,TSLA,,,,,
2025-10-23 09:30:00,2025-10-23,SELL,416.54,2.3096,,,,,TSLA,TRAILING_STOP,962.02,432.98,-37.98,-3.8
2025-10-23 09:30:00,2025-10-23,BUY,416.54,1.4405,600.0,600.0,gap_down,2.16,TSLA,,,,,
2025-10-30 10:50:00,2025-10-30,SELL,442.38,1.4405,,,,,TSLA,TRAILING_STOP,637.23,416.54,37.23,6.21
2025-10-30 10:50:00,2025-10-30,BUY,442.38,2.2605,1000.0,1000.0,"gap_down, extreme_drop",2.68,TSLA,,,,,
2025-11-04 09:30:00,2025-11-04,SELL,449.45,2.2605,,,,,TSLA,TRAILING_STOP,1015.97,442.38,15.97,1.6
2025-11-04 09:30:00,2025-11-04,BUY,449.45,2.6699,1200.0,1200.0,"gap_down, extreme_drop",3.2,TSLA,,,,,
2025-11-06 11:15:00,2025-11-06,SELL,442.45,2.6699,,,,,TSLA,TRAILING_STOP,1181.31,449.45,-18.69,-1.56
2025-11-06 11:15:00,2025-11-06,BUY,442.45,2.2601,1000.0,1000.0,extreme_drop,1.17,TSLA,,,,,
2025-11-07 09:35:00,2025-11-07,SELL,426.01,2.2601,,,,,TSLA,TRAILING_STOP,962.84,442.45,-37.16,-3.72
2025-11-07 09:35:00,2025-11-07,BUY,426.01,1.8779,800.0,800.0,extreme_drop,1.23,TSLA,,,,,
2025-11-12 11:45:00,2025-11-12,SELL,427.02,1.8779,,,,,TSLA,TRAILING_STOP,801.89,426.01,1.89,0.24
2025-11-03 09:30:00,2025-11-03,BUY,339.89,2.9421,1000.0,1000.0,oversold,2.22,V,,,,,
2025-10-29 09:30:00,2025-10-29,BUY,363.21,2.7532,1000.0,1000.0,"volatility_spike, extreme_drop",2.14,UNH,,,,,
2025-10-30 10:25:00,2025-10-30,SELL,345.84,2.7532,,,,,UNH,TRAILING_STOP,952.18,363.21,-47.82,-4.78
2025-10-30 10:25:00,2025-10-30,BUY,345.84,1.7349,600.0,600.0,"oversold, gap_down",4.62,UNH,,,,,
2025-11-03 10:20:00,2025-11-03,SELL,329.85,1.7349,,,,,UNH,TRAILING_STOP,572.25,345.84,-27.75,-4.62
2025-11-03 10:20:00,2025-11-03,BUY,329.85,1.819,600.0,600.0,"rsi_oversold, oversold",3.78,UNH,,,,,
2025-11-07 09:30:00,2025-11-07,SELL,318.11,1.819,,,,,UNH,TRAILING_STOP,578.65,329.85,-21.35,-3.56
2025-11-07 09:30:00,2025-11-07,BUY,318.11,1.8861,600.0,600.0,"rsi_oversold, oversold",3.26,UNH,,,,,
2025-11-03 09:30:00,2025-11-03,BUY,188.44,5.3067,1000.0,1000.0,oversold,2.14,JNJ,,,,,
2025-10-14 14:45:00,2025-10-14,BUY,303.58,3.294,1000.0,1000.0,"volatility_spike, oversold",3.08,JPM,,,,,
2025-10-17 09:30:00,2025-10-17,SELL,295.61,3.294,,,,,JPM,TRAILING_STOP,973.76,303.58,-26.24,-2.62
2025-10-17 09:30:00,2025-10-17,BUY,295.61,2.0297,600.0,600.0,oversold,2.36,JPM,,,,,
2025-11-12 09:30:00,2025-11-12,SELL,318.76,0.5074,,,,,JPM,OVERBOUGHT,161.74,295.61,11.74,7.83
2025-11-13 09:30:00,2025-11-13,SELL,320.02,0.3806,,,,,JPM,OVERBOUGHT,121.79,295.61,9.29,8.26
2025-10-16 09:30:00,2025-10-16,BUY,559.34,1.7878,1000.0,1000.0,"volatility_spike, oversold",3.62,MA,,,,,
2025-10-31 09:30:00,2025-10-31,SELL,549.26,1.7878,,,,,MA,TRAILING_STOP,981.97,559.34,-18.03,-1.8
2025-11-03 09:30:00,2025-11-03,BUY,547.62,1.0957,600.0,600.0,oversold,2.4,MA,,,,,
2025-11-05 09:30:00,2025-11-05,BUY,146.59,6.8217,1000.0,1000.0,oversold,2.15,PG,,,,,
2025-10-17 09:30:00,2025-10-17,BUY,794.0,1.2594,1000.0,1000.0,gap_down,1.86,LLY,,,,,
2025-10-30 09:30:00,2025-10-30,SELL,835.77,0.3149,,,,,LLY,OVERBOUGHT,263.15,794.0,13.15,5.26
2025-11-03 09:30:00,2025-11-03,SELL,878.97,0.2361,,,,,LLY,OVERBOUGHT,207.57,794.0,20.07,10.7
2025-11-04 09:30:00,2025-11-04,SELL,886.85,0.1771,,,,,LLY,OVERBOUGHT,157.07,794.0,16.44,11.69
2025-11-05 09:30:00,2025-11-05,SELL,922.71,0.1328,,,,,LLY,OVERBOUGHT,122.57,794.0,17.1,16.21
2025-11-06 09:30:00,2025-11-06,SELL,931.42,0.0996,,,,,LLY,OVERBOUGHT,92.79,794.0,13.69,17.31
2025-11-07 10:00:00,2025-11-07,SELL,903.62,0.2989,,,,,LLY,TRAILING_STOP,270.07,794.0,32.76,13.81
2025-10-14 14:45:00,2025-10-14,BUY,347.86,2.8747,1000.0,1000.0,extreme_drop,1.17,AVGO,,,,,
2025-10-17 10:55:00,2025-10-17,SELL,343.77,2.8747,,,,,AVGO,TRAILING_STOP,988.24,347.86,-11.76,-1.18
2025-10-14 14:45:00,2025-10-14,BUY,387.9,2.578,1000.0,1000.0,"volatility_spike, rsi_oversold",1.15,HD,,,,,
2025-11-03 10:25:00,2025-11-03,SELL,374.48,2.578,,,,,HD,TRAILING_STOP,965.42,387.9,-34.58,-3.46
2025-11-05 09:30:00,2025-11-05,BUY,382.53,1.5685,600.0,600.0,"volatility_spike, oversold",3.1,HD,,,,,
2025-10-30 09:30:00,2025-10-30,BUY,84.57,11.8245,1000.0,1000.0,gap_down,1.13,MRK,,,,,
2025-11-03 15:15:00,2025-11-03,SELL,82.74,11.8245,,,,,MRK,TRAILING_STOP,978.36,84.57,-21.64,-2.16
2025-11-03 15:15:00,2025-11-03,BUY,82.74,7.2516,600.0,600.0,"volatility_spike, oversold, extreme_drop",5.35,MRK,,,,,
2025-11-11 09:30:00,2025-11-11,SELL,87.67,1.8129,,,,,MRK,OVERBOUGHT,158.93,82.74,8.93,5.95
2025-10-31 09:30:00,2025-10-31,BUY,218.59,4.5748,1000.0,1000.0,"extreme_drop, volume_spike, volatility_spike, oversold, gap_down",10.42,ABBV,,,,,
2025-10-16 09:30:00,2025-10-16,BUY,950.67,1.0519,1000.0,1000.0,"volatility_spike, extreme_drop",2.03,COST,,,,,
2025-10-14 14:45:00,2025-10-14,BUY,337.3,2.9647,1000.0,1000.0,oversold,2.04,ADBE,,,,,
2025-10-29 09:35:00,2025-10-29,SELL,343.97,2.9647,,,,,ADBE,TRAILING_STOP,1019.76,337.3,19.76,1.98
2025-10-29 09:35:00,2025-10-29,BUY,343.97,3.4887,1200.0,1200.0,"volatility_spike, extreme_drop",3.04,ADBE,,,,,
2025-11-06 10:00:00,2025-11-06,SELL,326.79,3.4887,,,,,ADBE,TRAILING_STOP,1140.06,343.97,-59.94,-4.99
2025-11-06 09:30:00,2025-11-06,BUY,141.91,7.0469,1000.0,1000.0,"rsi_oversold, oversold",3.61,PEP,,,,,
2025-10-22 09:30:00,2025-10-22,BUY,1140.96,0.8765,1000.0,1000.0,"extreme_drop, volume_spike, volatility_spike, oversold, gap_down",12.77,NFLX,,,,,
2025-10-27 09:40:00,2025-10-27,SELL,1093.39,0.8765,,,,,NFLX,TRAILING_STOP,958.31,1140.96,-41.69,-4.17
2025-10-27 09:40:00,2025-10-27,BUY,1093.39,0.5488,600.0,600.0,oversold,2.19,NFLX,,,,,
2025-10-15 09:30:00,2025-10-15,BUY,129.68,7.7113,1000.0,1000.0,"volume_spike, volatility_spike, oversold, gap_down",6.89,ABT,,,,,
2025-10-29 14:40:00,2025-10-29,SELL,124.29,7.7113,,,,,ABT,TRAILING_STOP,958.4,129.68,-41.6,-4.16
2025-10-29 14:40:00,2025-10-29,BUY,124.29,4.8276,600.0,600.0,"rsi_oversold, oversold",2.4,ABT,,,,,
