Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2024-11-15 09:30:00-05:00,167.81,174.07,167.33,173.14,4188917.0,50867.0,171.2587339333333,2024-11-15,09:30:00,AMAT
2024-11-15 10:00:00-05:00,173.13,173.98,170.9501,171.2653,1655855.0,22255.0,172.33736116666665,2024-11-15,10:00:00,AMAT
2024-11-15 10:30:00-05:00,171.25,171.5181,169.72,170.26,985505.0,16580.0,170.35334523333333,2024-11-15,10:30:00,AMAT
2024-11-15 11:00:00-05:00,170.23,170.94,169.88,170.13,690078.0,11456.0,170.3689717,2024-11-15,11:00:00,AMAT
2024-11-15 11:30:00-05:00,170.11,170.4499,168.87,169.34,917589.0,14176.0,169.85412319999998,2024-11-15,11:30:00,AMAT
2024-11-15 12:00:00-05:00,169.295,170.72,169.14,169.99,607830.0,10063.0,169.80834386666666,2024-11-15,12:00:00,AMAT
2024-11-15 12:30:00-05:00,169.93,170.46,169.5482,169.97,371333.0,7444.0,170.00884513333332,2024-11-15,12:30:00,AMAT
2024-11-15 13:00:00-05:00,169.895,170.2944,169.5,169.91,430962.0,8595.0,169.84185243333334,2024-11-15,13:00:00,AMAT
2024-11-15 13:30:00-05:00,169.88,170.45,168.74,169.01,607837.0,10423.0,169.61622633333334,2024-11-15,13:30:00,AMAT
2024-11-15 14:00:00-05:00,168.97,169.72,168.65,169.6073,379807.0,8010.0,169.0605292,2024-11-15,14:00:00,AMAT
2024-11-15 14:30:00-05:00,169.67,170.1899,169.52,169.585,389452.0,7827.0,169.84205500000002,2024-11-15,14:30:00,AMAT
2024-11-15 15:00:00-05:00,169.585,169.6999,168.78,169.35,697271.0,11856.0,169.189421,2024-11-15,15:00:00,AMAT
2024-11-15 15:30:00-05:00,169.36,169.56,168.17,168.86,1611898.0,29219.0,168.9049178666667,2024-11-15,15:30:00,AMAT
2024-11-15 16:00:00-05:00,168.88,169.4667,168.88,169.16,1735112.0,266.0,169.090503625,2024-11-15,16:00:00,AMAT
2024-11-18 09:30:00-05:00,167.68,169.49,166.8501,167.73,938669.0,14766.0,168.00757843333335,2024-11-18,09:30:00,AMAT
2024-11-18 10:00:00-05:00,167.705,170.28,167.64,170.2052,625819.0,11094.0,169.06040720000001,2024-11-18,10:00:00,AMAT
2024-11-18 10:30:00-05:00,170.14,170.68,169.64,170.025,467249.0,8582.0,170.18674556666667,2024-11-18,10:30:00,AMAT
2024-11-18 11:00:00-05:00,169.995,171.4185,169.775,171.12,401496.0,7454.0,170.76669226666667,2024-11-18,11:00:00,AMAT
2024-11-18 11:30:00-05:00,171.12,171.67,170.54,170.7707,296355.0,6480.0,171.1277737,2024-11-18,11:30:00,AMAT
2024-11-18 12:00:00-05:00,170.805,170.85,170.2901,170.51,265173.0,5176.0,170.56555716666665,2024-11-18,12:00:00,AMAT
2024-11-18 12:30:00-05:00,170.52,171.36,170.4083,171.335,246330.0,5414.0,170.8653936,2024-11-18,12:30:00,AMAT
2024-11-18 13:00:00-05:00,171.29,171.34,170.77,170.8528,227231.0,4810.0,171.01180266666668,2024-11-18,13:00:00,AMAT
2024-11-18 13:30:00-05:00,170.86,170.96,170.05,170.62,247374.0,5902.0,170.55469626666667,2024-11-18,13:30:00,AMAT
2024-11-18 14:00:00-05:00,170.64,170.81,170.2,170.45,343378.0,5745.0,170.51573240000002,2024-11-18,14:00:00,AMAT
2024-11-18 14:30:00-05:00,170.46,170.87,170.32,170.59,246529.0,4887.0,170.57106053333334,2024-11-18,14:30:00,AMAT
2024-11-18 15:00:00-05:00,170.56,171.09,170.4,170.98,315968.0,6701.0,170.71377956666666,2024-11-18,15:00:00,AMAT
2024-11-18 15:30:00-05:00,170.98,171.0,170.16,170.74,851308.0,17206.0,170.66202993333334,2024-11-18,15:30:00,AMAT
2024-11-18 16:00:00-05:00,170.75,170.99,170.55,170.55,2003644.0,145.0,170.7460042,2024-11-18,16:00:00,AMAT
2024-11-19 09:30:00-05:00,168.34,169.63,167.73,168.01,536751.0,10155.0,168.50140816666666,2024-11-19,09:30:00,AMAT
2024-11-19 10:00:00-05:00,168.09,168.3599,167.49,168.335,490618.0,9316.0,168.06928966666666,2024-11-19,10:00:00,AMAT
2024-11-19 10:30:00-05:00,168.29,168.38,167.68,167.88,461965.0,8051.0,168.08736016666666,2024-11-19,10:30:00,AMAT
2024-11-19 11:00:00-05:00,167.885,169.07,167.885,168.9,375617.0,6825.0,168.42639333333332,2024-11-19,11:00:00,AMAT
2024-11-19 11:30:00-05:00,168.87,169.15,168.0,168.115,330004.0,6017.0,168.5869985,2024-11-19,11:30:00,AMAT
2024-11-19 12:00:00-05:00,168.135,168.38,167.7701,168.13,260269.0,4899.0,168.13893223333335,2024-11-19,12:00:00,AMAT
2024-11-19 12:30:00-05:00,168.1,168.325,167.585,167.7,298973.0,5776.0,168.0101404,2024-11-19,12:30:00,AMAT
2024-11-19 13:00:00-05:00,167.75,169.21,167.62,169.135,286716.0,5634.0,168.430061,2024-11-19,13:00:00,AMAT
2024-11-19 13:30:00-05:00,169.16,169.8819,169.0601,169.745,236720.0,4764.0,169.46716793333331,2024-11-19,13:30:00,AMAT
2024-11-19 14:00:00-05:00,169.75,169.96,169.34,169.4,220219.0,4604.0,169.74658443333334,2024-11-19,14:00:00,AMAT
