Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2023-11-17 09:30:00-05:00,446.64,447.07,445.23,446.33,96842.0,2091.0,446.3018833846154,2023-11-17,09:30:00,LMT
2023-11-17 10:00:00-05:00,446.345,447.23,445.84,446.25,40140.0,2208.0,446.5292169565218,2023-11-17,10:00:00,LMT
2023-11-17 10:30:00-05:00,446.21,446.21,445.24,445.405,29930.0,1670.0,445.5927110769231,2023-11-17,10:30:00,LMT
2023-11-17 11:00:00-05:00,445.31,445.78,445.04,445.43,28899.0,1543.0,445.4693656086957,2023-11-17,11:00:00,LMT
2023-11-17 11:30:00-05:00,445.2701,446.1199,445.2701,445.78,35055.0,1757.0,445.77398207692306,2023-11-17,11:30:00,LMT
2023-11-17 12:00:00-05:00,445.795,446.48,445.78,446.48,32943.0,1658.0,446.21473403999994,2023-11-17,12:00:00,LMT
2023-11-17 12:30:00-05:00,446.31,446.54,446.0481,446.2735,30298.0,1380.0,446.25364204545457,2023-11-17,12:30:00,LMT
2023-11-17 13:00:00-05:00,446.26,446.935,446.15,446.8,29204.0,1422.0,446.55640824,2023-11-17,13:00:00,LMT
2023-11-17 13:30:00-05:00,446.795,446.89,446.33,446.33,22271.0,1225.0,446.60699532,2023-11-17,13:30:00,LMT
2023-11-17 14:00:00-05:00,446.41,446.41,445.2,445.215,35451.0,1769.0,445.71345966666667,2023-11-17,14:00:00,LMT
2023-11-17 14:30:00-05:00,445.15,445.4,444.895,444.9601,82504.0,1823.0,445.18692647999995,2023-11-17,14:30:00,LMT
2023-11-17 15:00:00-05:00,445.085,445.66,444.79,445.57,51250.0,2422.0,445.17437574074074,2023-11-17,15:00:00,LMT
2023-11-17 15:30:00-05:00,445.55,445.74,444.22,444.59,188210.0,6761.0,444.84910663333335,2023-11-17,15:30:00,LMT
2023-11-17 16:00:00-05:00,444.68,444.68,444.68,444.68,134467.0,73.0,444.68,2023-11-17,16:00:00,LMT
2023-11-20 09:30:00-05:00,444.03,444.78,440.76,442.3695,128473.0,4073.0,442.5131368333333,2023-11-20,09:30:00,LMT
2023-11-20 10:00:00-05:00,442.29,444.19,442.12,443.31,64077.0,2719.0,443.59491285714284,2023-11-20,10:00:00,LMT
2023-11-20 10:30:00-05:00,443.31,444.68,443.31,443.74,54355.0,2486.0,443.8242380344828,2023-11-20,10:30:00,LMT
2023-11-20 11:00:00-05:00,443.9,444.3,443.485,444.3,51068.0,2094.0,443.8957576428571,2023-11-20,11:00:00,LMT
2023-11-20 11:30:00-05:00,444.15,444.71,444.15,444.275,44503.0,1882.0,444.3770624482758,2023-11-20,11:30:00,LMT
2023-11-20 12:00:00-05:00,444.275,444.335,443.96,444.11,41909.0,1657.0,444.20018842857144,2023-11-20,12:00:00,LMT
2023-11-20 12:30:00-05:00,443.98,444.08,443.575,443.74,33914.0,1373.0,443.8187306666667,2023-11-20,12:30:00,LMT
2023-11-20 13:00:00-05:00,443.86,445.0,443.8232,444.27,38546.0,1524.0,444.5993415,2023-11-20,13:00:00,LMT
2023-11-20 13:30:00-05:00,444.45,444.49,444.145,444.26,37017.0,1709.0,444.32411025925927,2023-11-20,13:30:00,LMT
2023-11-20 14:00:00-05:00,444.25,444.2808,443.81,444.0954,38716.0,1808.0,444.11772540000004,2023-11-20,14:00:00,LMT
2023-11-20 14:30:00-05:00,444.065,444.87,444.05,444.65,54677.0,1948.0,444.4765236071429,2023-11-20,14:30:00,LMT
2023-11-20 15:00:00-05:00,444.645,445.16,444.3201,445.03,56827.0,2211.0,444.66177195999995,2023-11-20,15:00:00,LMT
2023-11-20 15:30:00-05:00,445.05,445.59,443.62,444.08,162689.0,5725.0,444.84768203333334,2023-11-20,15:30:00,LMT
2023-11-20 16:00:00-05:00,443.81,443.81,443.81,443.81,112567.0,62.0,443.81,2023-11-20,16:00:00,LMT
2023-11-21 09:30:00-05:00,445.0,447.0,444.155,446.14,106469.0,3028.0,446.06714392857145,2023-11-21,09:30:00,LMT
2023-11-21 10:00:00-05:00,446.2,446.7248,445.31,445.79,52163.0,2158.0,445.92701407407407,2023-11-21,10:00:00,LMT
2023-11-21 10:30:00-05:00,445.7748,446.0,445.24,445.98,46663.0,1942.0,445.5308725714286,2023-11-21,10:30:00,LMT
2023-11-21 11:00:00-05:00,445.98,446.566,445.88,446.566,38114.0,1494.0,446.22449730434784,2023-11-21,11:00:00,LMT
2023-11-21 11:30:00-05:00,446.63,447.21,446.5701,446.8,48446.0,1688.0,446.82986343478257,2023-11-21,11:30:00,LMT
2023-11-21 12:00:00-05:00,446.855,447.34,446.7672,447.2982,24473.0,1146.0,447.11001400000004,2023-11-21,12:00:00,LMT
2023-11-21 12:30:00-05:00,447.375,447.9,447.2065,447.83,34848.0,1289.0,447.55915622727275,2023-11-21,12:30:00,LMT
2023-11-21 13:00:00-05:00,447.79,448.0,447.34,447.515,28962.0,1251.0,447.6719575833333,2023-11-21,13:00:00,LMT
2023-11-21 13:30:00-05:00,447.64,448.1642,447.6,447.92,37933.0,1586.0,447.92997596296294,2023-11-21,13:30:00,LMT
2023-11-21 14:00:00-05:00,447.8766,448.07,447.59,447.92,34100.0,1491.0,447.847639962963,2023-11-21,14:00:00,LMT
2023-11-21 14:30:00-05:00,447.87,447.87,447.2,447.74,36745.0,1586.0,447.52774374074073,2023-11-21,14:30:00,LMT
2023-11-21 15:00:00-05:00,447.7,448.36,447.69,448.03,42032.0,1877.0,447.984491423077,2023-11-21,15:00:00,LMT
2023-11-21 15:30:00-05:00,448.05,448.57,447.79,448.09,179052.0,6573.0,448.14576643333334,2023-11-21,15:30:00,LMT
2023-11-21 16:00:00-05:00,448.15,448.15,448.15,448.15,419099.0,35.0,448.15,2023-11-21,16:00:00,LMT
2023-11-22 09:30:00-05:00,447.5,451.7,447.5,451.1,106409.0,3177.0,450.3256253448276,2023-11-22,09:30:00,LMT
2023-11-22 10:00:00-05:00,451.16,451.475,449.92,450.0,47278.0,2219.0,450.4275928,2023-11-22,10:00:00,LMT
2023-11-22 10:30:00-05:00,450.12,450.88,449.845,450.88,64900.0,2710.0,450.32911113333336,2023-11-22,10:30:00,LMT
2023-11-22 11:00:00-05:00,450.855,451.59,450.35,451.285,66757.0,2432.0,451.01980313793104,2023-11-22,11:00:00,LMT
2023-11-22 11:30:00-05:00,451.285,451.38,450.3,450.655,57662.0,1751.0,450.9843853478261,2023-11-22,11:30:00,LMT
2023-11-22 12:00:00-05:00,450.78,451.29,449.84,449.98,46405.0,1746.0,450.36770316,2023-11-22,12:00:00,LMT
2023-11-22 12:30:00-05:00,449.92,449.98,449.23,449.23,27151.0,1277.0,449.68377430769226,2023-11-22,12:30:00,LMT
2023-11-22 13:00:00-05:00,449.23,449.515,448.87,448.935,24381.0,1081.0,449.25316752,2023-11-22,13:00:00,LMT
2023-11-22 13:30:00-05:00,448.94,449.105,448.14,448.22,35417.0,1520.0,448.72031214814814,2023-11-22,13:30:00,LMT
2023-11-22 14:00:00-05:00,448.19,448.99,448.19,448.99,34910.0,1356.0,448.6192218888889,2023-11-22,14:00:00,LMT
2023-11-22 14:30:00-05:00,449.1,449.59,448.47,449.505,39299.0,1590.0,449.0806375517241,2023-11-22,14:30:00,LMT
2023-11-22 15:00:00-05:00,449.555,450.5,449.4,450.33,46002.0,2099.0,450.02615589285716,2023-11-22,15:00:00,LMT
2023-11-22 15:30:00-05:00,450.32,450.56,449.71,450.265,125376.0,4790.0,450.2471028666667,2023-11-22,15:30:00,LMT
2023-11-22 16:00:00-05:00,450.4,450.4,450.4,450.4,95037.0,48.0,450.3999999999999,2023-11-22,16:00:00,LMT
2023-11-24 09:30:00-05:00,451.69,452.59,450.0,450.105,46360.0,1794.0,450.8715864814815,2023-11-24,09:30:00,LMT
