Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2023-11-17 09:30:00-05:00,89.13,89.95,89.09,89.9,1299928.0,11519.0,89.64364276666667,2023-11-17,09:30:00,TJX
2023-11-17 10:00:00-05:00,89.905,90.145,89.32,89.58,728533.0,8614.0,89.68620673333334,2023-11-17,10:00:00,TJX
2023-11-17 10:30:00-05:00,89.58,89.64,89.265,89.58,470450.0,6050.0,89.47787983333333,2023-11-17,10:30:00,TJX
2023-11-17 11:00:00-05:00,89.59,89.6099,89.27,89.5,288679.0,4089.0,89.4206044,2023-11-17,11:00:00,TJX
2023-11-17 11:30:00-05:00,89.49,89.72,89.345,89.37,300241.0,4119.0,89.5257519,2023-11-17,11:30:00,TJX
2023-11-17 12:00:00-05:00,89.35,89.59,89.23,89.59,259302.0,4081.0,89.38366183333332,2023-11-17,12:00:00,TJX
2023-11-17 12:30:00-05:00,89.59,89.59,89.37,89.37,248271.0,3649.0,89.50820246666667,2023-11-17,12:30:00,TJX
2023-11-17 13:00:00-05:00,89.37,89.58,89.25,89.53,276867.0,4541.0,89.43817136666667,2023-11-17,13:00:00,TJX
2023-11-17 13:30:00-05:00,89.53,89.6196,89.349,89.46,470908.0,5166.0,89.47056103333333,2023-11-17,13:30:00,TJX
2023-11-17 14:00:00-05:00,89.4537,89.495,89.225,89.235,269643.0,4602.0,89.33901873333333,2023-11-17,14:00:00,TJX
2023-11-17 14:30:00-05:00,89.235,89.34,89.14,89.145,501885.0,6008.0,89.24754533333333,2023-11-17,14:30:00,TJX
2023-11-17 15:00:00-05:00,89.145,89.31,89.091,89.23,477126.0,7650.0,89.19546023333334,2023-11-17,15:00:00,TJX
2023-11-17 15:30:00-05:00,89.238,89.238,88.785,88.84,1521788.0,16828.0,89.05421213333334,2023-11-17,15:30:00,TJX
2023-11-17 16:00:00-05:00,88.84,88.88,88.84,88.84,2104992.0,104.0,88.85,2023-11-17,16:00:00,TJX
2023-11-20 09:30:00-05:00,88.66,88.94,88.35,88.9,641178.0,6366.0,88.67090527586207,2023-11-20,09:30:00,TJX
2023-11-20 10:00:00-05:00,88.915,88.99,88.44,88.665,646846.0,7247.0,88.6243354,2023-11-20,10:00:00,TJX
2023-11-20 10:30:00-05:00,88.65,88.71,88.42,88.6,531613.0,8205.0,88.5750579,2023-11-20,10:30:00,TJX
2023-11-20 11:00:00-05:00,88.6,88.82,88.59,88.795,293255.0,4125.0,88.73531043333334,2023-11-20,11:00:00,TJX
2023-11-20 11:30:00-05:00,88.795,88.95,88.43,88.53,415652.0,5111.0,88.61958786666668,2023-11-20,11:30:00,TJX
2023-11-20 12:00:00-05:00,88.53,88.78,88.53,88.71,294336.0,3993.0,88.68771663333334,2023-11-20,12:00:00,TJX
2023-11-20 12:30:00-05:00,88.7,88.83,88.58,88.81,197922.0,3242.0,88.6756484,2023-11-20,12:30:00,TJX
2023-11-20 13:00:00-05:00,88.82,89.01,88.8,88.87,216558.0,3104.0,88.9128634,2023-11-20,13:00:00,TJX
2023-11-20 13:30:00-05:00,88.88,89.09,88.875,88.98,227146.0,3614.0,88.9897352,2023-11-20,13:30:00,TJX
2023-11-20 14:00:00-05:00,88.98,89.28,88.98,89.14,226030.0,3736.0,89.16137376666667,2023-11-20,14:00:00,TJX
2023-11-20 14:30:00-05:00,89.14,89.51,89.13,89.49,278285.0,4416.0,89.35376186666667,2023-11-20,14:30:00,TJX
2023-11-20 15:00:00-05:00,89.489,89.735,89.489,89.73,408862.0,5729.0,89.58813873333334,2023-11-20,15:00:00,TJX
2023-11-20 15:30:00-05:00,89.73,89.799,89.39,89.55,1246725.0,14109.0,89.61958419999999,2023-11-20,15:30:00,TJX
2023-11-20 16:00:00-05:00,89.54,89.6,89.0,89.6,1325094.0,55.0,89.42,2023-11-20,16:00:00,TJX
2023-11-21 09:30:00-05:00,89.78,90.0,88.56,88.93,523188.0,5767.0,88.98821863333335,2023-11-21,09:30:00,TJX
