Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2023-11-17 09:30:00-05:00,171.79,171.79,170.43,171.08,207000.0,2628.0,170.97469180000002,2023-11-17,09:30:00,WM
2023-11-17 10:00:00-05:00,171.18,171.18,170.74,170.87,108708.0,2667.0,170.94545968965517,2023-11-17,10:00:00,WM
2023-11-17 10:30:00-05:00,170.85,171.05,170.7708,170.83,72446.0,1855.0,170.88588193103448,2023-11-17,10:30:00,WM
2023-11-17 11:00:00-05:00,170.83,170.875,170.21,170.225,75564.0,1948.0,170.6325736,2023-11-17,11:00:00,WM
2023-11-17 11:30:00-05:00,170.2,170.41,170.15,170.3,81036.0,1882.0,170.2514965,2023-11-17,11:30:00,WM
2023-11-17 12:00:00-05:00,170.28,170.56,170.23,170.42,70660.0,1528.0,170.42633081481483,2023-11-17,12:00:00,WM
2023-11-17 12:30:00-05:00,170.45,170.5984,170.38,170.49,56539.0,1273.0,170.48472896296298,2023-11-17,12:30:00,WM
2023-11-17 13:00:00-05:00,170.475,170.55,170.24,170.47,51775.0,1358.0,170.39360048148149,2023-11-17,13:00:00,WM
2023-11-17 13:30:00-05:00,170.47,170.52,170.26,170.36,38521.0,1254.0,170.39123753571428,2023-11-17,13:30:00,WM
2023-11-17 14:00:00-05:00,170.353,170.64,170.31,170.49,66483.0,1878.0,170.471982,2023-11-17,14:00:00,WM
2023-11-17 14:30:00-05:00,170.49,170.726,170.455,170.67,51352.0,1756.0,170.5836879310345,2023-11-17,14:30:00,WM
2023-11-17 15:00:00-05:00,170.67,170.87,170.55,170.86,69119.0,2143.0,170.66263463333334,2023-11-17,15:00:00,WM
2023-11-17 15:30:00-05:00,170.865,170.905,170.3,170.57,316774.0,6602.0,170.63293396666668,2023-11-17,15:30:00,WM
2023-11-17 16:00:00-05:00,170.55,170.55,170.55,170.55,590364.0,72.0,170.55,2023-11-17,16:00:00,WM
2023-11-20 09:30:00-05:00,169.62,170.3,168.8826,170.3,86784.0,2196.0,169.83334951724137,2023-11-20,09:30:00,WM
2023-11-20 10:00:00-05:00,170.31,170.55,170.13,170.32,50768.0,1901.0,170.31249932142856,2023-11-20,10:00:00,WM
2023-11-20 10:30:00-05:00,170.33,170.69,170.31,170.53,63864.0,2011.0,170.55269866666669,2023-11-20,10:30:00,WM
2023-11-20 11:00:00-05:00,170.54,170.95,170.54,170.915,51232.0,1591.0,170.72364510714286,2023-11-20,11:00:00,WM
2023-11-20 11:30:00-05:00,170.94,171.15,170.86,171.01,50916.0,1703.0,171.01676303448278,2023-11-20,11:30:00,WM
2023-11-20 12:00:00-05:00,170.995,171.28,170.89,171.08,42741.0,1307.0,171.10348351851852,2023-11-20,12:00:00,WM
2023-11-20 12:30:00-05:00,171.0759,171.25,170.94,171.13,33183.0,1291.0,171.09490127586207,2023-11-20,12:30:00,WM
2023-11-20 13:00:00-05:00,171.1314,171.449,171.08,171.35,38512.0,1316.0,171.3247247857143,2023-11-20,13:00:00,WM
2023-11-20 13:30:00-05:00,171.36,171.73,171.34,171.66,56192.0,1687.0,171.57056353333334,2023-11-20,13:30:00,WM
2023-11-20 14:00:00-05:00,171.64,171.69,171.52,171.66,46099.0,1643.0,171.60868389285716,2023-11-20,14:00:00,WM
2023-11-20 14:30:00-05:00,171.66,171.83,171.57,171.76,57838.0,1865.0,171.6874678,2023-11-20,14:30:00,WM
2023-11-20 15:00:00-05:00,171.775,171.93,171.7201,171.895,62106.0,2191.0,171.817063,2023-11-20,15:00:00,WM
2023-11-20 15:30:00-05:00,171.8853,171.8853,171.05,171.19,324683.0,6938.0,171.57801663333333,2023-11-20,15:30:00,WM
2023-11-20 16:00:00-05:00,171.18,171.18,171.0,171.0,414245.0,62.0,171.09,2023-11-20,16:00:00,WM
2023-11-21 09:30:00-05:00,171.0,171.15,170.05,170.885,107110.0,2804.0,170.5461003,2023-11-21,09:30:00,WM
2023-11-21 10:00:00-05:00,170.81,171.3066,170.62,171.03,64104.0,2443.0,171.01924996666668,2023-11-21,10:00:00,WM
