Symbol,Trades,Buy_Trades,Sell_Trades,Invested,Total_Value,Profit_Loss,Return_Pct
AAPL,0,0,0,0.0,0.0,0.0,0.0
MSFT,2,1,1,5462.5,5497.82,35.31,0.65
GOOGL,0,0,0,0.0,0.0,0.0,0.0
AMZN,0,0,0,0.0,0.0,0.0,0.0
NVDA,0,0,0,0.0,0.0,0.0,0.0
META,4,2,2,5886.48,5931.05,44.58,0.76
TSLA,0,0,0,0.0,0.0,0.0,0.0
V,2,1,1,3476.18,3529.36,53.18,1.53
UNH,2,1,1,2587.78,2356.82,-230.95,-8.92
XOM,0,0,0,0.0,0.0,0.0,0.0
JNJ,0,0,0,0.0,0.0,0.0,0.0
JPM,0,0,0,0.0,0.0,0.0,0.0
WMT,0,0,0,0.0,0.0,0.0,0.0
MA,2,1,1,3656.78,3721.14,64.36,1.76
PG,0,0,0,0.0,0.0,0.0,0.0
LLY,2,1,1,1882.78,1866.21,-16.57,-0.88
AVGO,0,0,0,0.0,0.0,0.0,0.0
HD,0,0,0,0.0,0.0,0.0,0.0
CVX,0,0,0,0.0,0.0,0.0,0.0
MRK,0,0,0,0.0,0.0,0.0,0.0
ABBV,2,1,1,4224.96,4366.08,141.12,3.34
COST,2,1,1,5070.99,5076.08,5.09,0.1
ADBE,4,2,2,7188.38,7206.61,18.23,0.25
PEP,0,0,0,0.0,0.0,0.0,0.0
TMO,0,0,0,0.0,0.0,0.0,0.0
MCD,2,1,1,4834.52,4869.16,34.65,0.72
CSCO,0,0,0,0.0,0.0,0.0,0.0
NFLX,2,1,1,3047.24,3107.79,60.55,1.99
ABT,2,1,1,3530.16,3644.7,114.54,3.24
ACN,8,4,4,14013.29,14114.9,101.62,0.73
