Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2024-11-15 09:30:00-05:00,169.63,169.63,166.04,167.255,1811535.0,18433.0,167.2690702,2024-11-15,09:30:00,ABBV
2024-11-15 10:00:00-05:00,167.22,167.49,165.61,166.54,942264.0,14494.0,166.74603843333335,2024-11-15,10:00:00,ABBV
2024-11-15 10:30:00-05:00,166.6,167.33,165.75,165.75,782091.0,11718.0,166.62125206666667,2024-11-15,10:30:00,ABBV
2024-11-15 11:00:00-05:00,165.7,166.77,165.54,166.265,522729.0,8996.0,166.15211313333333,2024-11-15,11:00:00,ABBV
2024-11-15 11:30:00-05:00,166.34,166.35,165.1,165.29,445797.0,8883.0,165.6346812333333,2024-11-15,11:30:00,ABBV
2024-11-15 12:00:00-05:00,165.36,165.935,165.26,165.65,442261.0,7064.0,165.62402723333335,2024-11-15,12:00:00,ABBV
2024-11-15 12:30:00-05:00,165.6238,165.9899,165.4082,165.92,278194.0,5740.0,165.65136293333336,2024-11-15,12:30:00,ABBV
2024-11-15 13:00:00-05:00,165.92,166.64,165.72,166.57,304612.0,5982.0,166.19730973333333,2024-11-15,13:00:00,ABBV
2024-11-15 13:30:00-05:00,166.565,166.875,166.47,166.73,325701.0,6144.0,166.6722727,2024-11-15,13:30:00,ABBV
2024-11-15 14:00:00-05:00,166.67,166.87,166.05,166.05,317248.0,6359.0,166.5530536,2024-11-15,14:00:00,ABBV
2024-11-15 14:30:00-05:00,166.0267,166.35,165.66,165.865,341018.0,7542.0,166.0512279666667,2024-11-15,14:30:00,ABBV
2024-11-15 15:00:00-05:00,165.865,166.09,165.66,165.725,503921.0,9854.0,165.8386811,2024-11-15,15:00:00,ABBV
2024-11-15 15:30:00-05:00,165.75,165.858,164.72,165.02,2258729.0,22159.0,165.4896772333333,2024-11-15,15:30:00,ABBV
2024-11-15 16:00:00-05:00,164.94,165.0999,164.94,165.0999,1788944.0,133.0,165.0174735,2024-11-15,16:00:00,ABBV
