Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2024-11-15 09:30:00-05:00,291.5,291.5,282.155,285.37,801908.0,14389.0,286.3610777,2024-11-15,09:30:00,AMGN
2024-11-15 10:00:00-05:00,285.32,286.96,281.5,282.1101,364688.0,8887.0,283.789177,2024-11-15,10:00:00,AMGN
2024-11-15 10:30:00-05:00,282.13,283.99,280.58,281.18,358556.0,8337.0,282.1441317,2024-11-15,10:30:00,AMGN
2024-11-15 11:00:00-05:00,281.11,282.98,280.05,281.7,451094.0,8459.0,281.71622613333335,2024-11-15,11:00:00,AMGN
2024-11-15 11:30:00-05:00,281.55,281.88,280.1,281.4835,311100.0,6617.0,281.0483789333333,2024-11-15,11:30:00,AMGN
2024-11-15 12:00:00-05:00,281.74,282.14,280.7,281.485,237123.0,5550.0,281.4070958666667,2024-11-15,12:00:00,AMGN
2024-11-15 12:30:00-05:00,281.39,281.54,279.62,281.175,202444.0,5151.0,280.5954537333334,2024-11-15,12:30:00,AMGN
2024-11-15 13:00:00-05:00,281.2897,281.5167,280.37,281.005,200500.0,4598.0,280.7792004333333,2024-11-15,13:00:00,AMGN
2024-11-15 13:30:00-05:00,281.015,282.11,280.64,281.545,354303.0,5905.0,281.5305605666666,2024-11-15,13:30:00,AMGN
2024-11-15 14:00:00-05:00,281.545,283.13,280.77,282.86,152437.0,4087.0,282.0696844666667,2024-11-15,14:00:00,AMGN
2024-11-15 14:30:00-05:00,282.87,284.75,282.51,284.2305,160535.0,4494.0,283.78749526666667,2024-11-15,14:30:00,AMGN
2024-11-15 15:00:00-05:00,284.35,284.35,283.3,283.335,176542.0,5120.0,283.87767576666664,2024-11-15,15:00:00,AMGN
2024-11-15 15:30:00-05:00,283.41,284.33,282.82,283.61,614660.0,13554.0,283.53817146666665,2024-11-15,15:30:00,AMGN
2024-11-15 16:00:00-05:00,283.61,283.69,282.98,283.61,792131.0,152.0,283.5018318,2024-11-15,16:00:00,AMGN
2024-11-18 09:30:00-05:00,279.38,281.36,276.7,277.665,344471.0,8614.0,278.88068333333337,2024-11-18,09:30:00,AMGN
2024-11-18 10:00:00-05:00,277.665,279.005,276.56,276.79,281081.0,6667.0,277.43935193333334,2024-11-18,10:00:00,AMGN
