Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2024-11-15 09:30:00-05:00,97.92,97.92,94.48,95.625,3072376.0,27808.0,95.7532771,2024-11-15,09:30:00,MRK
2024-11-15 10:00:00-05:00,95.6,95.6,94.67,95.03,1524958.0,20137.0,95.03000569999999,2024-11-15,10:00:00,MRK
2024-11-15 10:30:00-05:00,95.04,95.95,94.82,95.69,914477.0,13068.0,95.37332280000001,2024-11-15,10:30:00,MRK
2024-11-15 11:00:00-05:00,95.65,96.66,95.59,96.22,1034232.0,13094.0,96.23040753333333,2024-11-15,11:00:00,MRK
2024-11-15 11:30:00-05:00,96.22,96.35,95.96,96.22,491634.0,8079.0,96.19454566666667,2024-11-15,11:30:00,MRK
2024-11-15 12:00:00-05:00,96.19,96.99,96.12,96.59,858173.0,12435.0,96.62292773333334,2024-11-15,12:00:00,MRK
2024-11-15 12:30:00-05:00,96.59,96.72,96.295,96.68,434851.0,7767.0,96.52332553333333,2024-11-15,12:30:00,MRK
2024-11-15 13:00:00-05:00,96.67,97.265,96.58,97.2,849214.0,11351.0,96.9554515,2024-11-15,13:00:00,MRK
2024-11-15 13:30:00-05:00,97.2,97.73,97.18,97.58,798930.0,10908.0,97.50815426666666,2024-11-15,13:30:00,MRK
2024-11-15 14:00:00-05:00,97.585,97.585,96.45,96.46,806079.0,11457.0,96.9324672,2024-11-15,14:00:00,MRK
2024-11-15 14:30:00-05:00,96.4629,96.62,96.25,96.52,717143.0,9767.0,96.46987393333333,2024-11-15,14:30:00,MRK
2024-11-15 15:00:00-05:00,96.53,96.7233,96.37,96.38,903689.0,11235.0,96.57663716666666,2024-11-15,15:00:00,MRK
2024-11-15 15:30:00-05:00,96.39,96.47,96.15,96.3,1663085.0,23253.0,96.3193087,2024-11-15,15:30:00,MRK
2024-11-15 16:00:00-05:00,96.31,96.6,96.31,96.31,1993798.0,145.0,96.40470328571428,2024-11-15,16:00:00,MRK
2024-11-18 09:30:00-05:00,96.56,97.29,96.24,96.985,994991.0,12009.0,96.79455096666668,2024-11-18,09:30:00,MRK
2024-11-18 10:00:00-05:00,96.985,97.1,95.65,95.72,808181.0,12180.0,96.35456906666667,2024-11-18,10:00:00,MRK
2024-11-18 10:30:00-05:00,95.725,96.18,95.69,95.8877,485333.0,8255.0,95.93829133333334,2024-11-18,10:30:00,MRK
2024-11-18 11:00:00-05:00,95.885,95.96,95.42,95.45,632893.0,11523.0,95.72527646666667,2024-11-18,11:00:00,MRK
2024-11-18 11:30:00-05:00,95.455,95.75,95.44,95.52,687489.0,10097.0,95.61027796666667,2024-11-18,11:30:00,MRK
