Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2024-11-15 09:30:00-05:00,419.57,422.8,418.21,419.065,4182087.0,52469.0,419.7448937666667,2024-11-15,09:30:00,MSFT
2024-11-15 10:00:00-05:00,419.075,419.3,417.3101,417.6499,1857817.0,37075.0,418.0997607,2024-11-15,10:00:00,MSFT
2024-11-15 10:30:00-05:00,417.65,418.035,416.24,416.69,2128737.0,31964.0,417.16207073333334,2024-11-15,10:30:00,MSFT
2024-11-15 11:00:00-05:00,416.65,416.91,416.16,416.8396,759048.0,21955.0,416.5294391666667,2024-11-15,11:00:00,MSFT
2024-11-15 11:30:00-05:00,416.8,417.175,414.39,414.85,994890.0,27564.0,415.94580666666667,2024-11-15,11:30:00,MSFT
2024-11-15 12:00:00-05:00,414.9,415.25,414.2259,415.18,1472573.0,19622.0,414.7872938,2024-11-15,12:00:00,MSFT
2024-11-15 12:30:00-05:00,415.15,415.24,413.64,414.755,1359345.0,21272.0,414.5969381333333,2024-11-15,12:30:00,MSFT
2024-11-15 13:00:00-05:00,414.765,415.4099,414.64,415.06,1411406.0,17538.0,414.97919720000004,2024-11-15,13:00:00,MSFT
2024-11-15 13:30:00-05:00,415.06,415.4,414.31,414.6481,648114.0,18383.0,414.9021727,2024-11-15,13:30:00,MSFT
2024-11-15 14:00:00-05:00,414.6401,415.4,413.86,414.03,771076.0,21129.0,414.68634116666664,2024-11-15,14:00:00,MSFT
2024-11-15 14:30:00-05:00,414.005,414.935,413.84,414.0567,909039.0,22925.0,414.2559958333333,2024-11-15,14:30:00,MSFT
2024-11-15 15:00:00-05:00,414.065,415.35,414.0564,414.7345,1044970.0,25017.0,414.77808536666663,2024-11-15,15:00:00,MSFT
2024-11-15 15:30:00-05:00,414.7,415.82,414.19,414.81,2621884.0,51432.0,414.8040984333333,2024-11-15,15:30:00,MSFT
2024-11-15 16:00:00-05:00,415.0,415.22,414.5,415.0,6154401.0,1311.0,414.93990682608694,2024-11-15,16:00:00,MSFT
2024-11-18 09:30:00-05:00,414.87,416.3773,412.1,415.4,2332109.0,51499.0,415.4289081333334,2024-11-18,09:30:00,MSFT
2024-11-18 10:00:00-05:00,415.47,417.4699,415.02,417.435,1073129.0,25682.0,416.16184816666663,2024-11-18,10:00:00,MSFT
2024-11-18 10:30:00-05:00,417.4,418.4037,417.2,417.56,895533.0,25297.0,417.8092321666667,2024-11-18,10:30:00,MSFT
2024-11-18 11:00:00-05:00,417.58,417.795,416.39,416.39,551111.0,16736.0,417.08786349999997,2024-11-18,11:00:00,MSFT
