Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2024-11-15 09:30:00-05:00,84.54,84.65,83.942,84.4,2315735.0,19017.0,84.36205353333334,2024-11-15,09:30:00,WMT
2024-11-15 10:00:00-05:00,84.42,84.78,84.37,84.66,796353.0,11826.0,84.60070126666666,2024-11-15,10:00:00,WMT
2024-11-15 10:30:00-05:00,84.67,84.75,84.33,84.37,722576.0,10948.0,84.58770286666666,2024-11-15,10:30:00,WMT
2024-11-15 11:00:00-05:00,84.365,84.495,84.23,84.415,605708.0,9146.0,84.378437,2024-11-15,11:00:00,WMT
2024-11-15 11:30:00-05:00,84.41,84.455,84.29,84.425,599170.0,8304.0,84.38140376666666,2024-11-15,11:30:00,WMT
2024-11-15 12:00:00-05:00,84.43,84.52,84.39,84.48,440695.0,6864.0,84.45894876666667,2024-11-15,12:00:00,WMT
2024-11-15 12:30:00-05:00,84.48,84.63,84.38,84.6,461569.0,6621.0,84.49925366666666,2024-11-15,12:30:00,WMT
2024-11-15 13:00:00-05:00,84.6,84.74,84.58,84.655,418750.0,6400.0,84.66000179999999,2024-11-15,13:00:00,WMT
2024-11-15 13:30:00-05:00,84.655,84.655,84.4501,84.5403,362169.0,6277.0,84.5544321,2024-11-15,13:30:00,WMT
2024-11-15 14:00:00-05:00,84.54,84.56,84.39,84.3928,463155.0,7077.0,84.45811006666666,2024-11-15,14:00:00,WMT
2024-11-15 14:30:00-05:00,84.395,84.465,84.315,84.36,700561.0,8553.0,84.39181483333333,2024-11-15,14:30:00,WMT
2024-11-15 15:00:00-05:00,84.35,84.37,84.145,84.235,778524.0,11245.0,84.26739930000001,2024-11-15,15:00:00,WMT
2024-11-15 15:30:00-05:00,84.235,84.49,84.1225,84.27,2428023.0,24430.0,84.24242216666667,2024-11-15,15:30:00,WMT
2024-11-15 16:00:00-05:00,84.25,84.34,84.25,84.3,5575041.0,162.0,84.29459181818181,2024-11-15,16:00:00,WMT
2024-11-18 09:30:00-05:00,84.82,84.85,84.14,84.33,2236441.0,26206.0,84.385096,2024-11-18,09:30:00,WMT
2024-11-18 10:00:00-05:00,84.33,84.58,84.13,84.4876,1303635.0,16792.0,84.38876476666665,2024-11-18,10:00:00,WMT
2024-11-18 10:30:00-05:00,84.48,84.72,84.39,84.665,771121.0,11445.0,84.53160273333333,2024-11-18,10:30:00,WMT
2024-11-18 11:00:00-05:00,84.665,84.735,84.05,84.13,1864036.0,18481.0,84.47131103333332,2024-11-18,11:00:00,WMT
2024-11-18 11:30:00-05:00,84.13,84.44,83.69,83.755,1506294.0,18270.0,83.97177153333334,2024-11-18,11:30:00,WMT
2024-11-18 12:00:00-05:00,83.7585,84.41,83.66,84.31,1062433.0,13854.0,84.09982,2024-11-18,12:00:00,WMT
2024-11-18 12:30:00-05:00,84.305,84.33,83.935,84.01,768111.0,10792.0,84.1507596,2024-11-18,12:30:00,WMT
2024-11-18 13:00:00-05:00,84.01,84.12,83.93,84.025,1040891.0,12839.0,84.0226352,2024-11-18,13:00:00,WMT
2024-11-18 13:30:00-05:00,84.025,84.03,83.68,83.805,1170796.0,12373.0,83.8202147,2024-11-18,13:30:00,WMT
2024-11-18 14:00:00-05:00,83.808,83.98,83.765,83.96,831805.0,11053.0,83.88209563333334,2024-11-18,14:00:00,WMT
2024-11-18 14:30:00-05:00,83.9685,84.15,83.94,84.005,1006757.0,12577.0,84.03457923333333,2024-11-18,14:30:00,WMT
2024-11-18 15:00:00-05:00,84.005,84.12,83.96,84.11,1170183.0,13604.0,84.0470092,2024-11-18,15:00:00,WMT
2024-11-18 15:30:00-05:00,84.105,84.105,83.84,84.09,3369921.0,30375.0,83.96344296666666,2024-11-18,15:30:00,WMT
2024-11-18 16:00:00-05:00,84.11,84.48,84.07,84.41,5812804.0,926.0,84.3337586,2024-11-18,16:00:00,WMT
2024-11-19 09:30:00-05:00,86.23,87.88,85.91,86.8289,7350970.0,62158.0,86.8228992,2024-11-19,09:30:00,WMT
2024-11-19 10:00:00-05:00,86.83,87.12,86.17,87.0795,3159609.0,28985.0,86.72496243333333,2024-11-19,10:00:00,WMT
2024-11-19 10:30:00-05:00,87.07,88.29,87.02,87.685,3863374.0,33868.0,87.7828943,2024-11-19,10:30:00,WMT
2024-11-19 11:00:00-05:00,87.689,87.81,87.16,87.255,1739562.0,21150.0,87.47483860000001,2024-11-19,11:00:00,WMT
2024-11-19 11:30:00-05:00,87.26,87.5,87.01,87.14,1448520.0,17396.0,87.2273882,2024-11-19,11:30:00,WMT
2024-11-19 12:00:00-05:00,87.146511,87.5,86.895,87.48,1510745.0,15590.0,87.1424341,2024-11-19,12:00:00,WMT
2024-11-19 12:30:00-05:00,87.4751,87.7,86.99,87.4099,1338672.0,14671.0,87.35854913333333,2024-11-19,12:30:00,WMT
2024-11-19 13:00:00-05:00,87.4,87.5,87.23,87.33,878715.0,11685.0,87.3896276,2024-11-19,13:00:00,WMT
2024-11-19 13:30:00-05:00,87.34,87.51,87.235,87.455,837951.0,12176.0,87.37608113333334,2024-11-19,13:30:00,WMT
2024-11-19 14:00:00-05:00,87.455,87.4875,87.31,87.345,839508.0,12388.0,87.4038454,2024-11-19,14:00:00,WMT
2024-11-19 14:30:00-05:00,87.345,87.35,87.09,87.235,1079196.0,14255.0,87.18993006666666,2024-11-19,14:30:00,WMT
2024-11-19 15:00:00-05:00,87.235,87.27,86.72,86.885,1315195.0,16051.0,86.90656433333334,2024-11-19,15:00:00,WMT
2024-11-19 15:30:00-05:00,86.8886,86.89,86.4641,86.595,3492859.0,34996.0,86.65342776666667,2024-11-19,15:30:00,WMT
2024-11-19 16:00:00-05:00,86.6,86.65,86.31,86.34,4083761.0,694.0,86.43735224137932,2024-11-19,16:00:00,WMT
2024-11-20 09:30:00-05:00,86.6,87.09,85.91,86.16,3200232.0,30610.0,86.34338003333333,2024-11-20,09:30:00,WMT
2024-11-20 10:00:00-05:00,86.16,86.4499,86.02,86.4,1206339.0,15375.0,86.20955389999999,2024-11-20,10:00:00,WMT
2024-11-20 10:30:00-05:00,86.4,86.8397,86.26,86.835,1140330.0,14785.0,86.54441543333334,2024-11-20,10:30:00,WMT
2024-11-20 11:00:00-05:00,86.835,86.88,86.505,86.5867,883958.0,11674.0,86.72777566666667,2024-11-20,11:00:00,WMT
2024-11-20 11:30:00-05:00,86.59,86.8,86.47,86.795,879232.0,11270.0,86.64302986666667,2024-11-20,11:30:00,WMT
2024-11-20 12:00:00-05:00,86.79,86.93,86.75,86.84,728588.0,9387.0,86.82410643333333,2024-11-20,12:00:00,WMT
2024-11-20 12:30:00-05:00,86.8359,87.1,86.595,86.62,708187.0,9345.0,86.94832316666665,2024-11-20,12:30:00,WMT
2024-11-20 13:00:00-05:00,86.615,86.82,86.615,86.805,535478.0,7444.0,86.7450585,2024-11-20,13:00:00,WMT
2024-11-20 13:30:00-05:00,86.8,87.005,86.775,86.945,690635.0,7994.0,86.88392046666667,2024-11-20,13:30:00,WMT
2024-11-20 14:00:00-05:00,86.945,87.0,86.82,86.835,534269.0,7534.0,86.928917,2024-11-20,14:00:00,WMT
2024-11-20 14:30:00-05:00,86.8337,86.97,86.74,86.755,553771.0,7733.0,86.87277033333334,2024-11-20,14:30:00,WMT
2024-11-20 15:00:00-05:00,86.75,86.82,86.68,86.815,800626.0,10156.0,86.76229773333333,2024-11-20,15:00:00,WMT
2024-11-20 15:30:00-05:00,86.815,87.2,86.815,87.19,2061446.0,21938.0,87.00291423333333,2024-11-20,15:30:00,WMT
2024-11-20 16:00:00-05:00,87.18,87.2814,87.04,87.25,3417779.0,361.0,87.15648323809525,2024-11-20,16:00:00,WMT
2024-11-21 09:30:00-05:00,87.45,87.85,86.93,87.8287,2471082.0,26103.0,87.31897593333333,2024-11-21,09:30:00,WMT
2024-11-21 10:00:00-05:00,87.83,88.15,87.74,88.055,1521885.0,18568.0,87.91658106666667,2024-11-21,10:00:00,WMT
2024-11-21 10:30:00-05:00,88.055,88.46,87.92,88.45,1327130.0,15542.0,88.15127006666667,2024-11-21,10:30:00,WMT
2024-11-21 11:00:00-05:00,88.45,88.47,88.0,88.24,899811.0,10783.0,88.14639336666667,2024-11-21,11:00:00,WMT
2024-11-21 11:30:00-05:00,88.24,88.285,87.95,88.01,959639.0,8450.0,88.11576076666667,2024-11-21,11:30:00,WMT
2024-11-21 12:00:00-05:00,88.0174,88.32,87.9,88.312,838279.0,10219.0,88.09626336666666,2024-11-21,12:00:00,WMT
2024-11-21 12:30:00-05:00,88.315,88.53,88.24,88.48,938423.0,9658.0,88.403037,2024-11-21,12:30:00,WMT
2024-11-21 13:00:00-05:00,88.47,88.64,88.43,88.465,742117.0,8061.0,88.50111270000001,2024-11-21,13:00:00,WMT
2024-11-21 13:30:00-05:00,88.47,88.64,88.445,88.49,887252.0,9586.0,88.544322,2024-11-21,13:30:00,WMT
