Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2023-11-17 09:30:00-05:00,578.6,579.92,574.06,576.62,284922.0,6753.0,575.9310111,2023-11-17,09:30:00,COST
2023-11-17 10:00:00-05:00,576.07,577.2772,575.32,575.48,149804.0,4842.0,576.1515430666666,2023-11-17,10:00:00,COST
2023-11-17 10:30:00-05:00,575.92,577.485,574.8,576.84,127566.0,4615.0,575.7470570666667,2023-11-17,10:30:00,COST
2023-11-17 11:00:00-05:00,576.84,577.35,575.06,575.56,66174.0,2786.0,576.127836137931,2023-11-17,11:00:00,COST
2023-11-17 11:30:00-05:00,575.46,576.8,575.019,576.35,50145.0,2815.0,575.7819319655173,2023-11-17,11:30:00,COST
2023-11-17 12:00:00-05:00,576.305,576.47,575.17,575.52,48516.0,2222.0,575.9559864074074,2023-11-17,12:00:00,COST
2023-11-17 12:30:00-05:00,575.33,575.93,575.1973,575.45,43486.0,2306.0,575.4739660333332,2023-11-17,12:30:00,COST
2023-11-17 13:00:00-05:00,575.55,576.59,575.3708,576.15,49375.0,2191.0,576.0931159259259,2023-11-17,13:00:00,COST
2023-11-17 13:30:00-05:00,576.19,576.65,575.94,576.2189,51250.0,2661.0,576.2940064827586,2023-11-17,13:30:00,COST
2023-11-17 14:00:00-05:00,576.23,577.25,576.08,576.45,59631.0,2705.0,576.65199572,2023-11-17,14:00:00,COST
2023-11-17 14:30:00-05:00,576.475,577.15,576.03,577.13,70420.0,3097.0,576.6667603928571,2023-11-17,14:30:00,COST
2023-11-17 15:00:00-05:00,577.06,577.665,576.83,577.19,124534.0,4353.0,577.2060596666666,2023-11-17,15:00:00,COST
2023-11-17 15:30:00-05:00,577.2,577.57,575.92,577.02,229788.0,9024.0,576.8283898000001,2023-11-17,15:30:00,COST
2023-11-17 16:00:00-05:00,577.15,577.15,577.0,577.15,373028.0,88.0,577.125,2023-11-17,16:00:00,COST
2023-11-20 09:30:00-05:00,576.74,581.5011,576.74,579.505,186062.0,6917.0,579.6685088666667,2023-11-20,09:30:00,COST
2023-11-20 10:00:00-05:00,579.51,581.47,578.285,578.9862,117353.0,4726.0,579.7750956896551,2023-11-20,10:00:00,COST
2023-11-20 10:30:00-05:00,578.85,579.7171,578.53,578.53,53414.0,3592.0,579.0878121428572,2023-11-20,10:30:00,COST
2023-11-20 11:00:00-05:00,578.615,580.6,578.615,580.0,77547.0,3327.0,580.10969375,2023-11-20,11:00:00,COST
2023-11-20 11:30:00-05:00,579.93,580.47,579.18,580.31,37778.0,2624.0,579.8321048571428,2023-11-20,11:30:00,COST
2023-11-20 12:00:00-05:00,580.24,580.6,579.71,579.87,39608.0,2396.0,580.0952133333334,2023-11-20,12:00:00,COST
2023-11-20 12:30:00-05:00,579.89,580.435,579.5,580.145,43416.0,2623.0,579.98302725,2023-11-20,12:30:00,COST
2023-11-20 13:00:00-05:00,580.135,581.8,579.95,581.8,112333.0,4033.0,581.1768670344827,2023-11-20,13:00:00,COST
2023-11-20 13:30:00-05:00,581.76,582.32,581.45,581.81,47040.0,2604.0,581.8214026551724,2023-11-20,13:30:00,COST
2023-11-20 14:00:00-05:00,581.655,581.8,580.49,580.61,59501.0,3078.0,581.2178276333333,2023-11-20,14:00:00,COST
2023-11-20 14:30:00-05:00,580.77,581.4575,580.6,580.71,49830.0,2488.0,580.8528525925926,2023-11-20,14:30:00,COST
2023-11-20 15:00:00-05:00,580.65,581.625,580.305,581.2307,98603.0,4086.0,580.8774802,2023-11-20,15:00:00,COST
2023-11-20 15:30:00-05:00,581.05,581.05,580.16,580.85,208977.0,8964.0,580.6792846333334,2023-11-20,15:30:00,COST
2023-11-20 16:00:00-05:00,580.8,580.8,580.3,580.8,466297.0,115.0,580.7,2023-11-20,16:00:00,COST
2023-11-21 09:30:00-05:00,581.345,582.3,577.71,581.99,102499.0,4367.0,580.5538478571428,2023-11-21,09:30:00,COST
2023-11-21 10:00:00-05:00,581.845,581.93,580.41,580.84,69043.0,4013.0,581.3402702666666,2023-11-21,10:00:00,COST
2023-11-21 10:30:00-05:00,580.61,581.32,579.6081,580.305,96895.0,2978.0,580.3861387037038,2023-11-21,10:30:00,COST
2023-11-21 11:00:00-05:00,580.3,581.86,580.19,581.77,49407.0,2225.0,581.0891954642857,2023-11-21,11:00:00,COST
2023-11-21 11:30:00-05:00,581.73,583.3536,581.34,583.34,65897.0,2697.0,582.1982086206896,2023-11-21,11:30:00,COST
2023-11-21 12:00:00-05:00,583.31,584.085,583.03,584.04,69010.0,2419.0,583.50625696,2023-11-21,12:00:00,COST
2023-11-21 12:30:00-05:00,584.0316,584.373,583.3,584.1899,62977.0,2513.0,583.9034790000001,2023-11-21,12:30:00,COST
2023-11-21 13:00:00-05:00,584.035,584.95,583.79,584.085,60055.0,2485.0,584.3302512500001,2023-11-21,13:00:00,COST
2023-11-21 13:30:00-05:00,584.17,584.52,583.86,583.979,62704.0,2549.0,584.1944179999999,2023-11-21,13:30:00,COST
2023-11-21 14:00:00-05:00,584.1799,584.1799,582.988,583.04,57459.0,2525.0,583.5383058571429,2023-11-21,14:00:00,COST
2023-11-21 14:30:00-05:00,583.06,583.81,582.4104,583.72,58952.0,2741.0,583.0823039999999,2023-11-21,14:30:00,COST
2023-11-21 15:00:00-05:00,583.75,584.25,583.1,583.3,65782.0,3495.0,583.6899335172413,2023-11-21,15:00:00,COST
2023-11-21 15:30:00-05:00,583.16,584.59,582.89,584.29,164203.0,8760.0,583.6369933333333,2023-11-21,15:30:00,COST
2023-11-21 16:00:00-05:00,584.44,584.44,584.3,584.3,164965.0,57.0,584.300092,2023-11-21,16:00:00,COST
2023-11-22 09:30:00-05:00,585.9,589.88,585.9,588.47,132575.0,5434.0,588.0859941666666,2023-11-22,09:30:00,COST
2023-11-22 10:00:00-05:00,587.75,588.45,586.5,587.67,68274.0,3534.0,587.6648127142856,2023-11-22,10:00:00,COST
