Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2023-11-17 09:30:00-05:00,210.01,210.02,207.76,208.59,363788.0,3370.0,208.66258748275862,2023-11-17,09:30:00,DHR
2023-11-17 10:00:00-05:00,208.7,208.74,207.6221,207.68,120163.0,2605.0,208.21949976666667,2023-11-17,10:00:00,DHR
2023-11-17 10:30:00-05:00,207.65,207.97,207.1547,207.64,106110.0,2187.0,207.50488983333335,2023-11-17,10:30:00,DHR
2023-11-17 11:00:00-05:00,207.695,207.89,206.69,206.99,143746.0,2490.0,207.35563903333335,2023-11-17,11:00:00,DHR
2023-11-17 11:30:00-05:00,206.955,207.19,206.5273,206.69,78513.0,2165.0,206.8778451,2023-11-17,11:30:00,DHR
2023-11-17 12:00:00-05:00,206.62,207.09,206.5875,206.775,85889.0,1902.0,206.86823266666667,2023-11-17,12:00:00,DHR
2023-11-17 12:30:00-05:00,206.72,206.925,206.3,206.61,78179.0,1881.0,206.56245566666666,2023-11-17,12:30:00,DHR
2023-11-17 13:00:00-05:00,206.59,207.17,206.5601,207.005,82159.0,1777.0,206.8505894,2023-11-17,13:00:00,DHR
2023-11-17 13:30:00-05:00,207.01,207.7,207.01,207.46,83918.0,2133.0,207.38286666666667,2023-11-17,13:30:00,DHR
2023-11-17 14:00:00-05:00,207.495,207.64,207.01,207.39,128007.0,2469.0,207.39836259999998,2023-11-17,14:00:00,DHR
2023-11-17 14:30:00-05:00,207.39,207.83,207.36,207.58,107866.0,2432.0,207.5843612,2023-11-17,14:30:00,DHR
2023-11-17 15:00:00-05:00,207.555,207.69,207.3,207.615,121554.0,3046.0,207.5040249,2023-11-17,15:00:00,DHR
2023-11-17 15:30:00-05:00,207.64,207.83,207.03,207.78,424921.0,8613.0,207.3883822,2023-11-17,15:30:00,DHR
2023-11-17 16:00:00-05:00,207.69,207.78,207.69,207.78,498856.0,89.0,207.779989,2023-11-17,16:00:00,DHR
2023-11-20 09:30:00-05:00,208.97,210.36,207.63,209.83,179330.0,2839.0,209.37626181481482,2023-11-20,09:30:00,DHR
