Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2023-11-17 09:30:00-05:00,152.16,152.68,151.54,152.62,1357250.0,11449.0,152.1891043,2023-11-17,09:30:00,JPM
2023-11-17 10:00:00-05:00,152.59,152.73,152.18,152.56,476726.0,10290.0,152.41520846666666,2023-11-17,10:00:00,JPM
2023-11-17 10:30:00-05:00,152.55,152.5654,152.01,152.02,300061.0,7042.0,152.2857827,2023-11-17,10:30:00,JPM
2023-11-17 11:00:00-05:00,152.0,152.49,151.93,152.273,400974.0,6231.0,152.21457676666665,2023-11-17,11:00:00,JPM
2023-11-17 11:30:00-05:00,152.2714,152.54,152.21,152.525,226931.0,4409.0,152.37706636666664,2023-11-17,11:30:00,JPM
2023-11-17 12:00:00-05:00,152.52,152.645,152.37,152.55,340215.0,5053.0,152.51519806666664,2023-11-17,12:00:00,JPM
2023-11-17 12:30:00-05:00,152.57,152.57,152.24,152.47,262655.0,4538.0,152.41005943333332,2023-11-17,12:30:00,JPM
2023-11-17 13:00:00-05:00,152.48,152.49,152.115,152.155,281476.0,4865.0,152.2933592,2023-11-17,13:00:00,JPM
2023-11-17 13:30:00-05:00,152.17,152.56,152.17,152.52,250648.0,4646.0,152.40007823333332,2023-11-17,13:30:00,JPM
2023-11-17 14:00:00-05:00,152.525,152.525,152.27,152.295,270267.0,4861.0,152.38416473333334,2023-11-17,14:00:00,JPM
2023-11-17 14:30:00-05:00,152.3,152.46,152.2417,152.38,301350.0,5030.0,152.3744839,2023-11-17,14:30:00,JPM
2023-11-17 15:00:00-05:00,152.39,152.7183,152.341,152.605,380166.0,6860.0,152.46478323333335,2023-11-17,15:00:00,JPM
2023-11-17 15:30:00-05:00,152.61,152.86,152.37,152.84,1055036.0,16087.0,152.53961016666665,2023-11-17,15:30:00,JPM
2023-11-17 16:00:00-05:00,152.82,152.84,152.82,152.82,1439981.0,90.0,152.824,2023-11-17,16:00:00,JPM
2023-11-20 09:30:00-05:00,152.08,152.83,151.92,152.64,1112460.0,12572.0,152.44447606666665,2023-11-20,09:30:00,JPM
2023-11-20 10:00:00-05:00,152.64,152.8909,152.27,152.87,577459.0,9867.0,152.5020661,2023-11-20,10:00:00,JPM
2023-11-20 10:30:00-05:00,152.865,153.09,152.665,152.77,355717.0,8560.0,152.80728246666666,2023-11-20,10:30:00,JPM
2023-11-20 11:00:00-05:00,152.8,153.025,152.71,152.86,291017.0,5749.0,152.8696846,2023-11-20,11:00:00,JPM
2023-11-20 11:30:00-05:00,152.86,153.04,152.67,152.995,350738.0,5586.0,152.84839873333334,2023-11-20,11:30:00,JPM
2023-11-20 12:00:00-05:00,152.995,153.03,152.86,152.9855,233097.0,4560.0,152.95734196666666,2023-11-20,12:00:00,JPM
2023-11-20 12:30:00-05:00,152.99,153.029,152.75,152.8605,187720.0,4071.0,152.89515166666666,2023-11-20,12:30:00,JPM
2023-11-20 13:00:00-05:00,152.8601,153.2,152.84,153.02,257335.0,4716.0,153.03528283333333,2023-11-20,13:00:00,JPM
2023-11-20 13:30:00-05:00,153.03,153.22,153.03,153.21,228901.0,4358.0,153.11534693333334,2023-11-20,13:30:00,JPM
2023-11-20 14:00:00-05:00,153.2,153.48,153.19,153.45,225428.0,4471.0,153.3452571,2023-11-20,14:00:00,JPM
2023-11-20 14:30:00-05:00,153.425,153.65,153.3821,153.52,216381.0,4764.0,153.50592463333334,2023-11-20,14:30:00,JPM
2023-11-20 15:00:00-05:00,153.52,153.75,153.52,153.725,257095.0,5780.0,153.6262995333333,2023-11-20,15:00:00,JPM
2023-11-20 15:30:00-05:00,153.72,153.75,153.1,153.29,958307.0,14807.0,153.5204463,2023-11-20,15:30:00,JPM
2023-11-20 16:00:00-05:00,153.31,153.31,153.25,153.3,1659159.0,119.0,153.2850877142857,2023-11-20,16:00:00,JPM
2023-11-21 09:30:00-05:00,153.2,153.49,152.57,152.8699,777882.0,10742.0,152.8933375,2023-11-21,09:30:00,JPM
2023-11-21 10:00:00-05:00,152.89,153.35,152.77,153.21,561490.0,10103.0,153.10806653333333,2023-11-21,10:00:00,JPM
2023-11-21 10:30:00-05:00,153.22,153.48,152.909,153.41,638466.0,8335.0,153.33391429999998,2023-11-21,10:30:00,JPM
2023-11-21 11:00:00-05:00,153.41,153.63,153.21,153.21,413627.0,6243.0,153.43125073333334,2023-11-21,11:00:00,JPM
2023-11-21 11:30:00-05:00,153.2052,153.39,153.1,153.12,310687.0,5343.0,153.2335213,2023-11-21,11:30:00,JPM
2023-11-21 12:00:00-05:00,153.115,153.21,152.92,153.01,303853.0,5367.0,153.06367076666666,2023-11-21,12:00:00,JPM
2023-11-21 12:30:00-05:00,153.02,153.1053,152.87,153.095,247011.0,4498.0,152.98197756666664,2023-11-21,12:30:00,JPM
2023-11-21 13:00:00-05:00,153.095,153.1,152.81,152.89,293893.0,4871.0,152.9568187666667,2023-11-21,13:00:00,JPM
2023-11-21 13:30:00-05:00,152.885,153.1901,152.855,153.105,265481.0,5097.0,153.09024486666667,2023-11-21,13:30:00,JPM
2023-11-21 14:00:00-05:00,153.095,153.18,152.85,152.92,483605.0,5407.0,152.98568673333332,2023-11-21,14:00:00,JPM
2023-11-21 14:30:00-05:00,152.92,153.11,152.91,153.105,308120.0,5950.0,153.00397143333333,2023-11-21,14:30:00,JPM
2023-11-21 15:00:00-05:00,153.11,153.24,152.9,153.0471,556528.0,6169.0,153.0979192,2023-11-21,15:00:00,JPM
2023-11-21 15:30:00-05:00,153.04,153.195,152.89,152.96,928089.0,13605.0,153.09612036666667,2023-11-21,15:30:00,JPM
2023-11-21 16:00:00-05:00,152.97,152.99,152.97,152.97,968673.0,70.0,152.9700008,2023-11-21,16:00:00,JPM
2023-11-22 09:30:00-05:00,153.41,153.635,152.9,153.41,532731.0,8645.0,153.33837309999998,2023-11-22,09:30:00,JPM
2023-11-22 10:00:00-05:00,153.39,153.88,153.22,153.77,443996.0,10015.0,153.6642679,2023-11-22,10:00:00,JPM
2023-11-22 10:30:00-05:00,153.78,153.79,153.395,153.42,363027.0,7175.0,153.5791194,2023-11-22,10:30:00,JPM
2023-11-22 11:00:00-05:00,153.42,153.67,153.41,153.49,271909.0,5423.0,153.53497263333333,2023-11-22,11:00:00,JPM
2023-11-22 11:30:00-05:00,153.5,153.67,153.31,153.575,259921.0,4434.0,153.47887956666668,2023-11-22,11:30:00,JPM
2023-11-22 12:00:00-05:00,153.575,153.7,153.4359,153.52,228044.0,4198.0,153.5809931,2023-11-22,12:00:00,JPM
2023-11-22 12:30:00-05:00,153.5,153.51,153.22,153.3249,197587.0,3567.0,153.3442451,2023-11-22,12:30:00,JPM
2023-11-22 13:00:00-05:00,153.335,153.42,153.085,153.15,161014.0,3332.0,153.2225426,2023-11-22,13:00:00,JPM
2023-11-22 13:30:00-05:00,153.165,153.22,153.005,153.1,166295.0,3200.0,153.1289047666667,2023-11-22,13:30:00,JPM
2023-11-22 14:00:00-05:00,153.1,153.3,153.1,153.2725,169742.0,3157.0,153.2341119,2023-11-22,14:00:00,JPM
2023-11-22 14:30:00-05:00,153.275,153.32,153.01,153.21,215455.0,3871.0,153.2072552,2023-11-22,14:30:00,JPM
