Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2022-11-17 09:30:00-05:00,46.14,46.39,45.1601,45.83,6118505.0,40865.0,45.949874933333334,2022-11-17,09:30:00,CSCO
2022-11-17 10:00:00-05:00,45.82,46.35,45.62,46.3,2870112.0,23862.0,45.96711483333333,2022-11-17,10:00:00,CSCO
2022-11-17 10:30:00-05:00,46.295,46.41,45.71,45.795,2555053.0,21748.0,45.97338593333333,2022-11-17,10:30:00,CSCO
2022-11-17 11:00:00-05:00,45.79,45.8799,45.58,45.625,1471748.0,14470.0,45.74297563333334,2022-11-17,11:00:00,CSCO
2022-11-17 11:30:00-05:00,45.615,46.0882,45.595,46.045,1303574.0,13116.0,45.843235299999996,2022-11-17,11:30:00,CSCO
2022-11-17 12:00:00-05:00,46.055,46.17,45.95,45.975,1444537.0,12862.0,46.047188733333336,2022-11-17,12:00:00,CSCO
2022-11-17 12:30:00-05:00,45.975,46.2788,45.97,46.205,1316145.0,12378.0,46.13235386666667,2022-11-17,12:30:00,CSCO
2022-11-17 13:00:00-05:00,46.205,46.5,46.195,46.39,1360696.0,13335.0,46.37116556666667,2022-11-17,13:00:00,CSCO
2022-11-17 13:30:00-05:00,46.395,46.53,46.3,46.395,1309588.0,11843.0,46.38546663333333,2022-11-17,13:30:00,CSCO
2022-11-17 14:00:00-05:00,46.39,46.57,46.37,46.515,1389612.0,12618.0,46.464996033333335,2022-11-17,14:00:00,CSCO
2022-11-17 14:30:00-05:00,46.5114,46.715,46.43,46.685,1574646.0,13507.0,46.53959616666667,2022-11-17,14:30:00,CSCO
2022-11-17 15:00:00-05:00,46.68,46.7,46.41,46.505,1820489.0,16758.0,46.556421633333336,2022-11-17,15:00:00,CSCO
2022-11-17 15:30:00-05:00,46.505,46.845,46.45,46.6,6779775.0,45624.0,46.57822676666667,2022-11-17,15:30:00,CSCO
2022-11-17 16:00:00-05:00,46.59,46.59,46.45,46.5,10931354.0,219.0,46.537911588235296,2022-11-17,16:00:00,CSCO
2022-11-18 09:30:00-05:00,46.85,48.04,46.85,47.7301,5124744.0,29022.0,47.592902333333335,2022-11-18,09:30:00,CSCO
2022-11-18 10:00:00-05:00,47.735,47.77,47.41,47.6058,1715591.0,16724.0,47.56108986666666,2022-11-18,10:00:00,CSCO
2022-11-18 10:30:00-05:00,47.61,47.825,47.525,47.58,1230272.0,11732.0,47.67230796666667,2022-11-18,10:30:00,CSCO
2022-11-18 11:00:00-05:00,47.5856,47.84,47.5229,47.69,1523408.0,12077.0,47.67542613333333,2022-11-18,11:00:00,CSCO
2022-11-18 11:30:00-05:00,47.695,47.81,47.53,47.705,1102597.0,10150.0,47.64610676666667,2022-11-18,11:30:00,CSCO
2022-11-18 12:00:00-05:00,47.705,47.73,47.57,47.695,1421701.0,11691.0,47.67409536666666,2022-11-18,12:00:00,CSCO
2022-11-18 12:30:00-05:00,47.695,47.76,47.67,47.735,1189502.0,10195.0,47.71293086666666,2022-11-18,12:30:00,CSCO
2022-11-18 13:00:00-05:00,47.736,47.88,47.71,47.855,1170242.0,10070.0,47.80041253333333,2022-11-18,13:00:00,CSCO
2022-11-18 13:30:00-05:00,47.86,47.875,47.665,47.705,1158878.0,9928.0,47.738581466666666,2022-11-18,13:30:00,CSCO
2022-11-18 14:00:00-05:00,47.705,47.83,47.69,47.73,826741.0,7682.0,47.75624776666667,2022-11-18,14:00:00,CSCO
2022-11-18 14:30:00-05:00,47.725,47.76,47.57,47.655,1199984.0,10123.0,47.653988133333335,2022-11-18,14:30:00,CSCO
2022-11-18 15:00:00-05:00,47.655,47.78,47.64,47.78,1349632.0,11531.0,47.7159854,2022-11-18,15:00:00,CSCO
2022-11-18 15:30:00-05:00,47.78,47.88,47.66,47.79,5544462.0,35087.0,47.74752483333334,2022-11-18,15:30:00,CSCO
2022-11-18 16:00:00-05:00,47.8,47.85,47.7,47.84,12162368.0,277.0,47.79622166666667,2022-11-18,16:00:00,CSCO
2022-11-21 09:30:00-05:00,47.63,48.29,47.56,48.235,2462037.0,17275.0,47.97601633333333,2022-11-21,09:30:00,CSCO
2022-11-21 10:00:00-05:00,48.24,48.285,47.7,47.85,1103522.0,11292.0,47.9175702,2022-11-21,10:00:00,CSCO
2022-11-21 10:30:00-05:00,47.845,47.91,47.745,47.82,1091775.0,10248.0,47.821008633333335,2022-11-21,10:30:00,CSCO
2022-11-21 11:00:00-05:00,47.815,47.965,47.765,47.85,898161.0,8869.0,47.87774443333333,2022-11-21,11:00:00,CSCO
2022-11-21 11:30:00-05:00,47.85,47.89,47.731,47.8111,1063975.0,10150.0,47.807475100000005,2022-11-21,11:30:00,CSCO
2022-11-21 12:00:00-05:00,47.82,47.98,47.77,47.795,562922.0,5583.0,47.87802943333334,2022-11-21,12:00:00,CSCO
2022-11-21 12:30:00-05:00,47.79,47.92,47.705,47.78,617063.0,6067.0,47.828204,2022-11-21,12:30:00,CSCO
2022-11-21 13:00:00-05:00,47.77,47.85,47.715,47.74,562594.0,6031.0,47.78563403333333,2022-11-21,13:00:00,CSCO
2022-11-21 13:30:00-05:00,47.745,47.85,47.68,47.68,518131.0,4942.0,47.7619889,2022-11-21,13:30:00,CSCO
2022-11-21 14:00:00-05:00,47.685,47.75,47.66,47.68,612586.0,6097.0,47.70614743333333,2022-11-21,14:00:00,CSCO
2022-11-21 14:30:00-05:00,47.68,47.775,47.675,47.685,495585.0,5360.0,47.7245488,2022-11-21,14:30:00,CSCO
2022-11-21 15:00:00-05:00,47.685,47.78,47.65,47.6977,788160.0,7981.0,47.7329273,2022-11-21,15:00:00,CSCO
2022-11-21 15:30:00-05:00,47.7,47.775,47.59,47.62,2693261.0,22269.0,47.69638616666667,2022-11-21,15:30:00,CSCO
2022-11-21 16:00:00-05:00,47.62,47.68,47.61,47.68,6244756.0,149.0,47.6349955,2022-11-21,16:00:00,CSCO
2022-11-22 09:30:00-05:00,47.88,48.26,47.76,48.25,2432093.0,14886.0,48.0564459,2022-11-22,09:30:00,CSCO
2022-11-22 10:00:00-05:00,48.25,48.345,48.14,48.15,1132392.0,9769.0,48.2515239,2022-11-22,10:00:00,CSCO
2022-11-22 10:30:00-05:00,48.15,48.19,47.995,48.055,739307.0,6247.0,48.110602166666666,2022-11-22,10:30:00,CSCO
2022-11-22 11:00:00-05:00,48.055,48.225,48.015,48.147,701509.0,6784.0,48.1369154,2022-11-22,11:00:00,CSCO
2022-11-22 11:30:00-05:00,48.145,48.3,48.08,48.295,636449.0,6732.0,48.1695109,2022-11-22,11:30:00,CSCO
2022-11-22 12:00:00-05:00,48.295,48.33,48.22,48.315,1173960.0,7494.0,48.28734533333333,2022-11-22,12:00:00,CSCO
2022-11-22 12:30:00-05:00,48.315,48.39,48.3,48.325,741587.0,7881.0,48.3511911,2022-11-22,12:30:00,CSCO
2022-11-22 13:00:00-05:00,48.33,48.38,48.28,48.31,681606.0,6408.0,48.32841043333334,2022-11-22,13:00:00,CSCO
2022-11-22 13:30:00-05:00,48.3067,48.3175,48.205,48.235,483819.0,5327.0,48.24447106666666,2022-11-22,13:30:00,CSCO
2022-11-22 14:00:00-05:00,48.235,48.285,48.19,48.28,517019.0,5594.0,48.23845703333333,2022-11-22,14:00:00,CSCO
2022-11-22 14:30:00-05:00,48.275,48.325,48.24,48.27,760797.0,7309.0,48.2761956,2022-11-22,14:30:00,CSCO
2022-11-22 15:00:00-05:00,48.26,48.37,48.25,48.34,728895.0,7262.0,48.315816133333335,2022-11-22,15:00:00,CSCO
2022-11-22 15:30:00-05:00,48.34,48.42,48.28,48.38,2532959.0,20897.0,48.344258366666665,2022-11-22,15:30:00,CSCO
2022-11-22 16:00:00-05:00,48.38,48.385,48.3094,48.3094,5860962.0,82.0,48.369932875,2022-11-22,16:00:00,CSCO
2022-11-23 09:30:00-05:00,48.37,48.84,48.32,48.75,1400145.0,9999.0,48.65477883333333,2022-11-23,09:30:00,CSCO
2022-11-23 10:00:00-05:00,48.75,48.89,48.67,48.765,834835.0,7311.0,48.8095657,2022-11-23,10:00:00,CSCO
2022-11-23 10:30:00-05:00,48.765,48.92,48.72,48.835,623391.0,5768.0,48.822359266666666,2022-11-23,10:30:00,CSCO
2022-11-23 11:00:00-05:00,48.8314,48.99,48.81,48.931,728469.0,6219.0,48.9104507,2022-11-23,11:00:00,CSCO
2022-11-23 11:30:00-05:00,48.935,48.935,48.59,48.64,835048.0,6929.0,48.808074866666665,2022-11-23,11:30:00,CSCO
2022-11-23 12:00:00-05:00,48.635,48.72,48.61,48.66,514160.0,4983.0,48.670427233333335,2022-11-23,12:00:00,CSCO
2022-11-23 12:30:00-05:00,48.66,48.7,48.38,48.455,481908.0,4396.0,48.59408403333334,2022-11-23,12:30:00,CSCO
2022-11-23 13:00:00-05:00,48.4531,48.48,48.39,48.465,338905.0,3411.0,48.43548096666667,2022-11-23,13:00:00,CSCO
2022-11-23 13:30:00-05:00,48.47,48.53,48.435,48.435,401895.0,3880.0,48.480404199999995,2022-11-23,13:30:00,CSCO
2022-11-23 14:00:00-05:00,48.44,48.7,48.35,48.615,717761.0,7573.0,48.57383986666666,2022-11-23,14:00:00,CSCO
2022-11-23 14:30:00-05:00,48.6131,48.69,48.5016,48.62,444455.0,4903.0,48.6000364,2022-11-23,14:30:00,CSCO
2022-11-23 15:00:00-05:00,48.62,48.69,48.545,48.575,633130.0,6099.0,48.62918283333333,2022-11-23,15:00:00,CSCO
2022-11-23 15:30:00-05:00,48.57,48.595,48.49,48.58,1811749.0,13754.0,48.5459839,2022-11-23,15:30:00,CSCO
2022-11-23 16:00:00-05:00,48.57,48.57,48.57,48.57,3961714.0,135.0,48.57,2022-11-23,16:00:00,CSCO
2022-11-25 09:30:00-05:00,48.75,49.05,48.605,48.71,1526406.0,9496.0,48.7249743,2022-11-25,09:30:00,CSCO
2022-11-25 10:00:00-05:00,48.7,48.78,48.61,48.67,642003.0,6102.0,48.707617766666665,2022-11-25,10:00:00,CSCO
2022-11-25 10:30:00-05:00,48.665,48.69,48.51,48.5599,525708.0,4909.0,48.5795453,2022-11-25,10:30:00,CSCO
2022-11-25 11:00:00-05:00,48.5599,48.65,48.51,48.61,506435.0,5160.0,48.56582366666667,2022-11-25,11:00:00,CSCO
2022-11-25 11:30:00-05:00,48.605,48.62,48.58,48.5932,490386.0,4305.0,48.6016651,2022-11-25,11:30:00,CSCO
2022-11-25 12:00:00-05:00,48.595,48.5983,48.48,48.5,456709.0,4534.0,48.51981993333333,2022-11-25,12:00:00,CSCO
2022-11-25 12:30:00-05:00,48.505,48.53,48.345,48.42,1142508.0,10212.0,48.458950800000004,2022-11-25,12:30:00,CSCO
2022-11-25 13:00:00-05:00,48.4,48.46,48.4,48.42,2616545.0,70.0,48.422890714285714,2022-11-25,13:00:00,CSCO
2022-11-25 13:30:00-05:00,48.46,48.46,48.46,48.46,618.0,7.0,48.46,2022-11-25,13:30:00,CSCO
2022-11-25 14:00:00-05:00,48.4,48.4,48.4,48.4,1515.0,17.0,48.4,2022-11-25,14:00:00,CSCO
2022-11-25 16:00:00-05:00,48.4,48.4,48.4,48.4,8055.0,1.0,48.4,2022-11-25,16:00:00,CSCO
2022-11-28 09:30:00-05:00,48.29,48.335,48.045,48.245,1314039.0,8210.0,48.24085973333333,2022-11-28,09:30:00,CSCO
2022-11-28 10:00:00-05:00,48.235,48.35,48.125,48.24,739596.0,7456.0,48.2297977,2022-11-28,10:00:00,CSCO
2022-11-28 10:30:00-05:00,48.23,48.28,48.16,48.205,450391.0,5479.0,48.22476866666667,2022-11-28,10:30:00,CSCO
2022-11-28 11:00:00-05:00,48.205,48.35,48.18,48.275,521211.0,5950.0,48.27300446666666,2022-11-28,11:00:00,CSCO
2022-11-28 11:30:00-05:00,48.27,48.37,48.19,48.355,449865.0,5147.0,48.284876000000004,2022-11-28,11:30:00,CSCO
2022-11-28 12:00:00-05:00,48.355,48.47,48.22,48.3,532127.0,5706.0,48.32322610000001,2022-11-28,12:00:00,CSCO
2022-11-28 12:30:00-05:00,48.3,48.34,48.18,48.215,357531.0,4033.0,48.27973346666667,2022-11-28,12:30:00,CSCO
2022-11-28 13:00:00-05:00,48.21,48.2775,48.19,48.255,388972.0,4253.0,48.2370138,2022-11-28,13:00:00,CSCO
2022-11-28 13:30:00-05:00,48.255,48.27,48.1158,48.125,393928.0,4708.0,48.2175143,2022-11-28,13:30:00,CSCO
2022-11-28 14:00:00-05:00,48.125,48.13,48.0,48.0433,423903.0,5070.0,48.063452633333334,2022-11-28,14:00:00,CSCO
2022-11-28 14:30:00-05:00,48.045,48.0879,48.005,48.045,571078.0,5478.0,48.04549506666667,2022-11-28,14:30:00,CSCO
2022-11-28 15:00:00-05:00,48.04,48.06,47.92,47.95,567404.0,5658.0,47.996561066666665,2022-11-28,15:00:00,CSCO
2022-11-28 15:30:00-05:00,47.955,48.145,47.92,48.08,2260594.0,18289.0,47.995199400000004,2022-11-28,15:30:00,CSCO
2022-11-28 16:00:00-05:00,48.09,48.19,48.06,48.15,10385291.0,163.0,48.094657454545455,2022-11-28,16:00:00,CSCO
2022-11-29 09:30:00-05:00,48.25,48.41,47.955,48.19,1488173.0,8686.0,48.15969883333333,2022-11-29,09:30:00,CSCO
2022-11-29 10:00:00-05:00,48.19,48.2653,48.15,48.245,753664.0,8562.0,48.2258398,2022-11-29,10:00:00,CSCO
2022-11-29 10:30:00-05:00,48.25,48.365,48.23,48.23,512195.0,5423.0,48.3029612,2022-11-29,10:30:00,CSCO
2022-11-29 11:00:00-05:00,48.23,48.24,47.84,47.91,1005774.0,8021.0,47.97918143333333,2022-11-29,11:00:00,CSCO
2022-11-29 11:30:00-05:00,47.9,48.05,47.86,48.0238,530259.0,5771.0,47.9719817,2022-11-29,11:30:00,CSCO
2022-11-29 12:00:00-05:00,48.025,48.0896,47.9101,48.07,472776.0,5229.0,47.98244,2022-11-29,12:00:00,CSCO
2022-11-29 12:30:00-05:00,48.08,48.245,48.07,48.195,526956.0,5274.0,48.163403233333334,2022-11-29,12:30:00,CSCO
2022-11-29 13:00:00-05:00,48.19,48.255,48.15,48.16,552157.0,6193.0,48.1872611,2022-11-29,13:00:00,CSCO
2022-11-29 13:30:00-05:00,48.1628,48.28,48.15,48.265,422645.0,4638.0,48.209658833333336,2022-11-29,13:30:00,CSCO
2022-11-29 14:00:00-05:00,48.2681,48.37,48.22,48.24,495321.0,5117.0,48.314782599999994,2022-11-29,14:00:00,CSCO
2022-11-29 14:30:00-05:00,48.245,48.2499,48.08,48.184,736442.0,7291.0,48.162177533333335,2022-11-29,14:30:00,CSCO
2022-11-29 15:00:00-05:00,48.1848,48.265,48.1525,48.175,521842.0,5798.0,48.21704076666666,2022-11-29,15:00:00,CSCO
2022-11-29 15:30:00-05:00,48.175,48.33,48.11,48.28,2005623.0,17017.0,48.20192333333333,2022-11-29,15:30:00,CSCO
2022-11-29 16:00:00-05:00,48.28,48.29,48.24,48.28,4653801.0,98.0,48.272391142857145,2022-11-29,16:00:00,CSCO
2022-11-30 09:30:00-05:00,48.16,48.56,48.07,48.45,1435615.0,10030.0,48.355479566666666,2022-11-30,09:30:00,CSCO
2022-11-30 10:00:00-05:00,48.45,48.48,48.245,48.295,591333.0,5779.0,48.32723446666667,2022-11-30,10:00:00,CSCO
2022-11-30 10:30:00-05:00,48.3,48.36,48.17,48.181,374626.0,4137.0,48.257800233333334,2022-11-30,10:30:00,CSCO
2022-11-30 11:00:00-05:00,48.19,48.295,48.1523,48.265,707604.0,5290.0,48.22514506666666,2022-11-30,11:00:00,CSCO
2022-11-30 11:30:00-05:00,48.27,48.3,48.185,48.23,678543.0,6353.0,48.24416673333334,2022-11-30,11:30:00,CSCO
2022-11-30 12:00:00-05:00,48.23,48.315,48.015,48.025,476940.0,5450.0,48.16812616666667,2022-11-30,12:00:00,CSCO
2022-11-30 12:30:00-05:00,48.02,48.11,47.96,48.11,341844.0,4134.0,48.038787533333334,2022-11-30,12:30:00,CSCO
2022-11-30 13:00:00-05:00,48.105,48.29,48.105,48.255,412988.0,4350.0,48.229811899999994,2022-11-30,13:00:00,CSCO
2022-11-30 13:30:00-05:00,48.255,48.855,48.16,48.83,1402539.0,14227.0,48.64057913333333,2022-11-30,13:30:00,CSCO
2022-11-30 14:00:00-05:00,48.82,49.39,48.82,49.34,1563305.0,15454.0,49.10421899999999,2022-11-30,14:00:00,CSCO
2022-11-30 14:30:00-05:00,49.35,49.36,49.135,49.25,1231046.0,12292.0,49.24689613333333,2022-11-30,14:30:00,CSCO
2022-11-30 15:00:00-05:00,49.25,49.465,49.235,49.455,1101925.0,10765.0,49.384621,2022-11-30,15:00:00,CSCO
2022-11-30 15:30:00-05:00,49.455,49.83,49.4,49.7,5385041.0,36406.0,49.526178566666665,2022-11-30,15:30:00,CSCO
2022-11-30 16:00:00-05:00,49.72,49.79,49.43,49.72,18537129.0,426.0,49.721102916666666,2022-11-30,16:00:00,CSCO
2022-12-01 09:30:00-05:00,49.94,50.35,49.69,50.34,2186275.0,16703.0,50.1029583,2022-12-01,09:30:00,CSCO
2022-12-01 10:00:00-05:00,50.34,50.46,49.83,49.8353,1960874.0,18189.0,50.13489976666666,2022-12-01,10:00:00,CSCO
2022-12-01 10:30:00-05:00,49.8313,50.19,49.71,50.165,871677.0,9888.0,49.9560768,2022-12-01,10:30:00,CSCO
2022-12-01 11:00:00-05:00,50.165,50.18,49.95,50.065,864255.0,9376.0,50.08013076666667,2022-12-01,11:00:00,CSCO
2022-12-01 11:30:00-05:00,50.07,50.11,49.93,50.0575,787509.0,8692.0,50.0257785,2022-12-01,11:30:00,CSCO
2022-12-01 12:00:00-05:00,50.055,50.11,49.95,50.065,762111.0,8545.0,50.030590100000005,2022-12-01,12:00:00,CSCO
2022-12-01 12:30:00-05:00,50.065,50.17,50.055,50.135,534684.0,7060.0,50.1222444,2022-12-01,12:30:00,CSCO
2022-12-01 13:00:00-05:00,50.135,50.185,49.97,50.015,622681.0,6975.0,50.08607216666667,2022-12-01,13:00:00,CSCO
2022-12-01 13:30:00-05:00,50.01,50.15,49.97,50.095,595731.0,7142.0,50.08117703333333,2022-12-01,13:30:00,CSCO
2022-12-01 14:00:00-05:00,50.1005,50.115,50.0,50.08,639644.0,8040.0,50.05149993333334,2022-12-01,14:00:00,CSCO
2022-12-01 14:30:00-05:00,50.07,50.1375,50.01,50.092,495079.0,6847.0,50.081981033333335,2022-12-01,14:30:00,CSCO
2022-12-01 15:00:00-05:00,50.1,50.105,49.99,50.035,831656.0,8965.0,50.0397058,2022-12-01,15:00:00,CSCO
2022-12-01 15:30:00-05:00,50.0348,50.12,49.96,49.99,2505126.0,20748.0,50.03589946666667,2022-12-01,15:30:00,CSCO
2022-12-01 16:00:00-05:00,49.97,49.97,49.91,49.91,7994527.0,108.0,49.955710714285715,2022-12-01,16:00:00,CSCO
2022-12-02 09:30:00-05:00,49.23,49.38,49.07,49.085,1440762.0,11124.0,49.19735466666667,2022-12-02,09:30:00,CSCO
2022-12-02 10:00:00-05:00,49.085,49.18,48.915,48.975,1129068.0,12985.0,49.05518566666667,2022-12-02,10:00:00,CSCO
2022-12-02 10:30:00-05:00,48.98,49.32,48.965,49.245,867645.0,10331.0,49.191750666666664,2022-12-02,10:30:00,CSCO
2022-12-02 11:00:00-05:00,49.245,49.335,49.15,49.325,621204.0,9074.0,49.2265596,2022-12-02,11:00:00,CSCO
2022-12-02 11:30:00-05:00,49.325,49.547,49.315,49.4953,647886.0,7748.0,49.4568687,2022-12-02,11:30:00,CSCO
2022-12-02 12:00:00-05:00,49.49,49.575,49.38,49.385,512887.0,5821.0,49.476428033333335,2022-12-02,12:00:00,CSCO
2022-12-02 12:30:00-05:00,49.3818,49.4591,49.34,49.38,448320.0,4255.0,49.39619163333334,2022-12-02,12:30:00,CSCO
2022-12-02 13:00:00-05:00,49.38,49.45,49.355,49.415,357921.0,4333.0,49.38631456666667,2022-12-02,13:00:00,CSCO
2022-12-02 13:30:00-05:00,49.41,49.49,49.395,49.45,292750.0,3518.0,49.443378433333336,2022-12-02,13:30:00,CSCO
2022-12-02 14:00:00-05:00,49.4442,49.52,49.36,49.49,376970.0,4697.0,49.441131766666665,2022-12-02,14:00:00,CSCO
2022-12-02 14:30:00-05:00,49.49,49.65,49.445,49.635,419155.0,4862.0,49.521233566666666,2022-12-02,14:30:00,CSCO
2022-12-02 15:00:00-05:00,49.64,49.84,49.6235,49.705,677234.0,7104.0,49.729254100000006,2022-12-02,15:00:00,CSCO
2022-12-02 15:30:00-05:00,49.7,49.74,49.575,49.71,1937121.0,18901.0,49.661394433333335,2022-12-02,15:30:00,CSCO
2022-12-02 16:00:00-05:00,49.71,49.72,49.7,49.7,4348262.0,96.0,49.700005833333336,2022-12-02,16:00:00,CSCO
