Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2022-11-17 09:30:00-05:00,352.91,356.65,352.71,355.1,311194.0,7299.0,355.2849775,2022-11-17,09:30:00,LLY
2022-11-17 10:00:00-05:00,355.01,356.05,354.1,355.69,163299.0,5033.0,355.2621769,2022-11-17,10:00:00,LLY
2022-11-17 10:30:00-05:00,355.46,356.5,355.3,356.5,152756.0,4863.0,355.82524240000004,2022-11-17,10:30:00,LLY
2022-11-17 11:00:00-05:00,356.63,358.265,356.03,357.9298,169632.0,5215.0,357.11286283333334,2022-11-17,11:00:00,LLY
2022-11-17 11:30:00-05:00,357.9,359.54,357.81,359.29,196481.0,5644.0,358.4472996,2022-11-17,11:30:00,LLY
2022-11-17 12:00:00-05:00,359.11,361.355,359.11,360.43,225759.0,5858.0,360.39304223333335,2022-11-17,12:00:00,LLY
2022-11-17 12:30:00-05:00,360.335,362.3,359.7,360.3915,147756.0,5298.0,360.8708009666667,2022-11-17,12:30:00,LLY
2022-11-17 13:00:00-05:00,360.48,361.13,360.35,360.64,97576.0,3322.0,360.8203446333334,2022-11-17,13:00:00,LLY
2022-11-17 13:30:00-05:00,360.5766,361.03,360.2377,360.85,116349.0,3527.0,360.6473144827586,2022-11-17,13:30:00,LLY
2022-11-17 14:00:00-05:00,360.6465,361.03,360.35,360.65,87946.0,3261.0,360.83085403333337,2022-11-17,14:00:00,LLY
2022-11-17 14:30:00-05:00,360.74,361.04,360.13,360.82,152980.0,4029.0,360.77655093333334,2022-11-17,14:30:00,LLY
2022-11-17 15:00:00-05:00,360.93,360.9512,359.64,360.72,121006.0,4776.0,360.4664125,2022-11-17,15:00:00,LLY
2022-11-17 15:30:00-05:00,360.68,361.01,360.36,360.77,545450.0,11748.0,360.75753986666666,2022-11-17,15:30:00,LLY
2022-11-17 16:00:00-05:00,360.77,361.39,360.77,361.39,426585.0,74.0,361.0031504,2022-11-17,16:00:00,LLY
2022-11-18 09:30:00-05:00,362.55,364.67,360.71,361.35,372131.0,5253.0,362.6650814827586,2022-11-18,09:30:00,LLY
2022-11-18 10:00:00-05:00,361.145,362.78,360.69,361.1,118714.0,3640.0,361.5031859,2022-11-18,10:00:00,LLY
2022-11-18 10:30:00-05:00,361.05,361.1768,360.04,360.21,95237.0,3081.0,360.66114276666667,2022-11-18,10:30:00,LLY
2022-11-18 11:00:00-05:00,360.43,361.74,360.16,361.05,130038.0,3246.0,361.0179944827586,2022-11-18,11:00:00,LLY
2022-11-18 11:30:00-05:00,361.22,361.79,360.69,361.2248,90971.0,2669.0,361.07378013333334,2022-11-18,11:30:00,LLY
2022-11-18 12:00:00-05:00,361.03,361.3602,360.32,361.02,83555.0,2289.0,360.79297406666666,2022-11-18,12:00:00,LLY
2022-11-18 12:30:00-05:00,361.09,361.295,360.72,360.915,46566.0,1573.0,361.0529939655172,2022-11-18,12:30:00,LLY
2022-11-18 13:00:00-05:00,360.98,361.65,360.85,361.005,60975.0,2116.0,361.21580386666665,2022-11-18,13:00:00,LLY
2022-11-18 13:30:00-05:00,361.115,361.18,359.35,359.77,70270.0,2207.0,360.1547083,2022-11-18,13:30:00,LLY
2022-11-18 14:00:00-05:00,359.84,360.64,359.7959,360.5419,65862.0,1732.0,360.2009407857143,2022-11-18,14:00:00,LLY
2022-11-18 14:30:00-05:00,360.65,361.31,360.35,361.21,76715.0,2316.0,360.9489609666667,2022-11-18,14:30:00,LLY
2022-11-18 15:00:00-05:00,361.08,362.3825,361.08,362.18,170034.0,4602.0,361.80251250000003,2022-11-18,15:00:00,LLY
2022-11-18 15:30:00-05:00,362.18,362.3897,360.78,361.68,503664.0,11761.0,361.91617940000003,2022-11-18,15:30:00,LLY
2022-11-18 16:00:00-05:00,361.67,361.67,361.67,361.67,484213.0,67.0,361.67,2022-11-18,16:00:00,LLY
2022-11-21 09:30:00-05:00,360.39,361.65,355.37,358.68,256172.0,5696.0,357.59216623333333,2022-11-21,09:30:00,LLY
2022-11-21 10:00:00-05:00,358.75,360.5,358.61,360.18,117484.0,3108.0,359.5381681333334,2022-11-21,10:00:00,LLY
2022-11-21 10:30:00-05:00,360.365,362.29,359.73,361.87,130394.0,3777.0,360.97717293333335,2022-11-21,10:30:00,LLY
2022-11-21 11:00:00-05:00,361.74,361.915,360.21,360.562,99684.0,2997.0,360.80499080000004,2022-11-21,11:00:00,LLY
2022-11-21 11:30:00-05:00,360.54,361.09,360.3,360.77,86554.0,2430.0,360.69448136666665,2022-11-21,11:30:00,LLY
2022-11-21 12:00:00-05:00,360.855,363.2899,360.78,362.96,100521.0,2809.0,362.08734476666666,2022-11-21,12:00:00,LLY
2022-11-21 12:30:00-05:00,362.95,362.96,361.69,361.93,68370.0,2114.0,362.12456856666665,2022-11-21,12:30:00,LLY
