Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2022-11-17 09:30:00-05:00,157.4,161.34,155.85,159.06,14046753.0,127666.0,159.3170434,2022-11-17,09:30:00,NVDA
2022-11-17 10:00:00-05:00,159.0723,162.66,158.43,162.49,7835049.0,69990.0,160.49662320000002,2022-11-17,10:00:00,NVDA
2022-11-17 10:30:00-05:00,162.4831,162.64,159.72,159.72,6077299.0,50791.0,161.04272583333335,2022-11-17,10:30:00,NVDA
2022-11-17 11:00:00-05:00,159.72,160.458,158.36,158.8623,5320439.0,44532.0,159.348447,2022-11-17,11:00:00,NVDA
2022-11-17 11:30:00-05:00,158.86,159.441,157.73,159.37,5154549.0,42484.0,158.5921715,2022-11-17,11:30:00,NVDA
2022-11-17 12:00:00-05:00,159.4,159.43,157.59,157.76,4263360.0,33080.0,158.58406693333333,2022-11-17,12:00:00,NVDA
2022-11-17 12:30:00-05:00,157.77,159.7,157.44,159.37,3335991.0,26664.0,158.4448153,2022-11-17,12:30:00,NVDA
2022-11-17 13:00:00-05:00,159.4099,159.78,158.27,158.39,3243099.0,25549.0,158.90613226666667,2022-11-17,13:00:00,NVDA
2022-11-17 13:30:00-05:00,158.425,158.5499,157.05,157.75,3401398.0,23488.0,157.8901010666667,2022-11-17,13:30:00,NVDA
2022-11-17 14:00:00-05:00,157.77,158.04,156.27,156.7427,3150302.0,26666.0,156.93199156666665,2022-11-17,14:00:00,NVDA
2022-11-17 14:30:00-05:00,156.75,157.15,156.38,156.76,2673624.0,22753.0,156.77316313333333,2022-11-17,14:30:00,NVDA
2022-11-17 15:00:00-05:00,156.765,157.135,155.35,155.495,3419504.0,30053.0,156.24413023333332,2022-11-17,15:00:00,NVDA
2022-11-17 15:30:00-05:00,155.5,157.16,155.4301,156.8,5205035.0,47715.0,156.3514197,2022-11-17,15:30:00,NVDA
2022-11-17 16:00:00-05:00,156.82,157.08,156.71,157.06,3248053.0,1099.0,156.90462789655174,2022-11-17,16:00:00,NVDA
2022-11-18 09:30:00-05:00,159.69,160.02,156.12,156.33,8015389.0,61898.0,157.17094806666668,2022-11-18,09:30:00,NVDA
