Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2022-11-17 09:30:00-05:00,529.22,529.25,522.54,522.765,76412.0,2264.0,525.8120485714286,2022-11-17,09:30:00,TMO
2022-11-17 10:00:00-05:00,522.9,526.935,522.6,525.435,61983.0,2420.0,525.255839724138,2022-11-17,10:00:00,TMO
2022-11-17 10:30:00-05:00,525.32,525.32,520.44,521.24,51490.0,2032.0,522.2092799642858,2022-11-17,10:30:00,TMO
2022-11-17 11:00:00-05:00,521.58,524.42,519.04,523.61,66326.0,2184.0,521.3084427241379,2022-11-17,11:00:00,TMO
2022-11-17 11:30:00-05:00,523.7,526.27,523.17,526.21,37512.0,1434.0,524.4424508846154,2022-11-17,11:30:00,TMO
2022-11-17 12:00:00-05:00,526.46,527.7,526.43,527.28,71107.0,2135.0,527.1712171724138,2022-11-17,12:00:00,TMO
2022-11-17 12:30:00-05:00,527.41,531.01,527.21,530.8,65290.0,2155.0,528.7859337333333,2022-11-17,12:30:00,TMO
2022-11-17 13:00:00-05:00,530.935,531.355,529.01,529.01,40185.0,1498.0,529.9047447037037,2022-11-17,13:00:00,TMO
2022-11-17 13:30:00-05:00,529.17,529.85,527.9817,528.68,30988.0,1396.0,528.968663375,2022-11-17,13:30:00,TMO
2022-11-17 14:00:00-05:00,528.48,529.45,526.72,527.53,123537.0,2498.0,527.9818752413793,2022-11-17,14:00:00,TMO
2022-11-17 14:30:00-05:00,527.03,527.66,526.7,526.985,57696.0,1856.0,527.1741034137931,2022-11-17,14:30:00,TMO
2022-11-17 15:00:00-05:00,526.92,527.25,523.91,524.75,79880.0,2876.0,525.4489622,2022-11-17,15:00:00,TMO
2022-11-17 15:30:00-05:00,525.02,530.17,524.94,529.89,240395.0,6921.0,527.0202789666666,2022-11-17,15:30:00,TMO
2022-11-17 16:00:00-05:00,529.89,529.89,529.89,529.89,266052.0,54.0,529.89,2022-11-17,16:00:00,TMO
2022-11-18 09:30:00-05:00,541.31,543.16,535.885,537.07,211917.0,2450.0,539.1563116666667,2022-11-18,09:30:00,TMO
2022-11-18 10:00:00-05:00,537.19,538.06,530.17,531.27,68781.0,2526.0,534.6282190333334,2022-11-18,10:00:00,TMO
2022-11-18 10:30:00-05:00,531.31,532.55,529.375,530.0,79258.0,2347.0,531.4236408928572,2022-11-18,10:30:00,TMO
2022-11-18 11:00:00-05:00,530.01,535.424,529.79,535.03,60205.0,2240.0,532.5599443103448,2022-11-18,11:00:00,TMO
2022-11-18 11:30:00-05:00,535.27,535.65,533.11,533.54,48227.0,1555.0,534.0742208,2022-11-18,11:30:00,TMO
2022-11-18 12:00:00-05:00,533.68,534.11,532.03,532.98,35961.0,1229.0,532.94003392,2022-11-18,12:00:00,TMO
2022-11-18 12:30:00-05:00,533.37,535.03,533.21,534.415,34501.0,711.0,533.98939025,2022-11-18,12:30:00,TMO
2022-11-18 13:00:00-05:00,534.58,534.96,532.94,533.745,31917.0,1257.0,533.9879037931034,2022-11-18,13:00:00,TMO
2022-11-18 13:30:00-05:00,533.79,534.03,531.26,531.87,27776.0,1037.0,532.354340478261,2022-11-18,13:30:00,TMO
2022-11-18 14:00:00-05:00,531.97,534.04,531.915,533.26,36043.0,1173.0,533.2543347826087,2022-11-18,14:00:00,TMO
2022-11-18 14:30:00-05:00,533.375,533.75,531.775,532.235,41375.0,1765.0,532.3969901785714,2022-11-18,14:30:00,TMO
2022-11-18 15:00:00-05:00,532.1,534.94,531.96,534.94,65119.0,2625.0,533.9990919655172,2022-11-18,15:00:00,TMO
2022-11-18 15:30:00-05:00,535.17,536.78,533.8,535.83,270810.0,7218.0,535.0347221333334,2022-11-18,15:30:00,TMO
2022-11-18 16:00:00-05:00,535.86,535.86,535.2,535.2,192079.0,61.0,535.233449,2022-11-18,16:00:00,TMO
2022-11-21 09:30:00-05:00,532.78,537.48,532.54,535.21,132290.0,3117.0,535.1762500666666,2022-11-21,09:30:00,TMO
2022-11-21 10:00:00-05:00,535.535,536.41,533.14,536.41,88252.0,2885.0,534.7402717931034,2022-11-21,10:00:00,TMO
2022-11-21 10:30:00-05:00,536.235,538.45,534.54,537.91,59262.0,2196.0,536.3558343448276,2022-11-21,10:30:00,TMO
2022-11-21 11:00:00-05:00,537.55,540.0,537.055,537.285,52485.0,2045.0,538.4304291,2022-11-21,11:00:00,TMO
2022-11-21 11:30:00-05:00,537.47,537.62,535.93,536.3,45862.0,1761.0,536.6699432413793,2022-11-21,11:30:00,TMO
2022-11-21 12:00:00-05:00,536.32,537.12,535.41,535.9,37658.0,1428.0,536.4897023448276,2022-11-21,12:00:00,TMO
2022-11-21 12:30:00-05:00,535.57,536.81,534.77,535.17,66187.0,1915.0,535.7905824642856,2022-11-21,12:30:00,TMO
2022-11-21 13:00:00-05:00,535.17,537.7,534.97,537.615,50799.0,1997.0,536.5386047586207,2022-11-21,13:00:00,TMO
2022-11-21 13:30:00-05:00,537.64,539.1,537.59,538.34,59208.0,2011.0,538.2419992,2022-11-21,13:30:00,TMO
2022-11-21 14:00:00-05:00,538.25,539.195,538.2,538.57,60559.0,1994.0,538.7263061785715,2022-11-21,14:00:00,TMO
2022-11-21 14:30:00-05:00,538.56,539.155,538.1,538.5,64593.0,2395.0,538.6355497666667,2022-11-21,14:30:00,TMO
2022-11-21 15:00:00-05:00,538.3175,539.356,537.2,537.45,77430.0,2952.0,538.4511032666667,2022-11-21,15:00:00,TMO
2022-11-21 15:30:00-05:00,537.41,537.73,535.55,536.35,264227.0,7218.0,536.8555133333333,2022-11-21,15:30:00,TMO
2022-11-21 16:00:00-05:00,536.28,536.28,536.28,536.28,196993.0,52.0,536.28,2022-11-21,16:00:00,TMO
2022-11-22 09:30:00-05:00,541.01,544.52,540.01,542.76,117586.0,3097.0,542.9820526333334,2022-11-22,09:30:00,TMO
2022-11-22 10:00:00-05:00,542.45,543.92,540.625,543.0075,96520.0,2827.0,542.2853697666667,2022-11-22,10:00:00,TMO
2022-11-22 10:30:00-05:00,543.16,543.78,540.02,541.22,109539.0,2433.0,541.4850266999999,2022-11-22,10:30:00,TMO
2022-11-22 11:00:00-05:00,541.265,541.84,539.9268,540.445,96644.0,2191.0,541.1108000666667,2022-11-22,11:00:00,TMO
2022-11-22 11:30:00-05:00,540.34,540.34,537.64,538.81,55239.0,1654.0,538.5645728928572,2022-11-22,11:30:00,TMO
2022-11-22 12:00:00-05:00,538.985,539.7793,538.11,538.43,39105.0,1576.0,538.9380018928572,2022-11-22,12:00:00,TMO
2022-11-22 12:30:00-05:00,538.61,539.075,538.1,538.52,28294.0,1249.0,538.5530773846153,2022-11-22,12:30:00,TMO
2022-11-22 13:00:00-05:00,538.455,540.48,538.455,540.265,41495.0,1466.0,539.6920723846154,2022-11-22,13:00:00,TMO
2022-11-22 13:30:00-05:00,540.18,541.06,539.7978,540.5,59107.0,1659.0,540.3388638571429,2022-11-22,13:30:00,TMO
2022-11-22 14:00:00-05:00,540.4,540.91,539.48,540.135,93278.0,1964.0,540.1056718965517,2022-11-22,14:00:00,TMO
2022-11-22 14:30:00-05:00,540.13,542.44,539.79,541.87,58298.0,2280.0,541.2919879,2022-11-22,14:30:00,TMO
2022-11-22 15:00:00-05:00,541.73,543.66,541.55,543.08,87444.0,3135.0,542.7853947,2022-11-22,15:00:00,TMO
2022-11-22 15:30:00-05:00,542.83,545.45,542.73,544.86,243719.0,6740.0,543.5448253333333,2022-11-22,15:30:00,TMO
