Datetime,Open,High,Low,Close,Volume,trade_count,vwap,Date,Time,Symbol
2022-11-17 09:30:00-05:00,147.01,147.88,146.71,147.74,1053756.0,16414.0,147.51694723333333,2022-11-17,09:30:00,WMT
2022-11-17 10:00:00-05:00,147.74,148.39,147.735,148.37,831140.0,12459.0,148.03109529999998,2022-11-17,10:00:00,WMT
2022-11-17 10:30:00-05:00,148.3882,148.62,147.85,147.98,472726.0,8445.0,148.1510558,2022-11-17,10:30:00,WMT
2022-11-17 11:00:00-05:00,148.0,148.23,147.81,148.03,418777.0,7524.0,147.9952819,2022-11-17,11:00:00,WMT
2022-11-17 11:30:00-05:00,148.02,148.56,147.9,148.54,349422.0,6643.0,148.0621867,2022-11-17,11:30:00,WMT
2022-11-17 12:00:00-05:00,148.53,148.73,148.35,148.36,341709.0,6775.0,148.5335444,2022-11-17,12:00:00,WMT
2022-11-17 12:30:00-05:00,148.39,148.62,148.17,148.18,345788.0,6431.0,148.401321,2022-11-17,12:30:00,WMT
2022-11-17 13:00:00-05:00,148.21,148.26,147.9,148.07,317989.0,5816.0,148.06943633333333,2022-11-17,13:00:00,WMT
2022-11-17 13:30:00-05:00,148.08,148.3,147.95,148.29,282311.0,5811.0,148.13117213333334,2022-11-17,13:30:00,WMT
2022-11-17 14:00:00-05:00,148.28,148.39,148.12,148.37,411769.0,6966.0,148.27210883333333,2022-11-17,14:00:00,WMT
2022-11-17 14:30:00-05:00,148.37,148.49,148.035,148.22,394665.0,6963.0,148.2635527333333,2022-11-17,14:30:00,WMT
2022-11-17 15:00:00-05:00,148.23,148.3,147.85,148.02,345987.0,6857.0,148.0102117,2022-11-17,15:00:00,WMT
2022-11-17 15:30:00-05:00,148.01,148.2208,147.9,148.01,1264734.0,17267.0,148.04086199999998,2022-11-17,15:30:00,WMT
2022-11-17 16:00:00-05:00,148.0,148.1,147.97,148.004,1356708.0,85.0,148.014508,2022-11-17,16:00:00,WMT
2022-11-18 09:30:00-05:00,149.67,150.0,148.77,149.61,999930.0,12963.0,149.33426583333332,2022-11-18,09:30:00,WMT
2022-11-18 10:00:00-05:00,149.61,149.83,149.2829,149.5,670501.0,9534.0,149.5860644,2022-11-18,10:00:00,WMT
2022-11-18 10:30:00-05:00,149.46,149.63,149.0836,149.1384,308600.0,5353.0,149.41833493333334,2022-11-18,10:30:00,WMT
2022-11-18 11:00:00-05:00,149.16,149.44,148.9401,149.36,255757.0,4903.0,149.26933169999998,2022-11-18,11:00:00,WMT
2022-11-18 11:30:00-05:00,149.37,149.53,149.27,149.49,230120.0,4696.0,149.40330413333334,2022-11-18,11:30:00,WMT
2022-11-18 12:00:00-05:00,149.48,149.49,148.9613,149.225,249923.0,4414.0,149.2567986,2022-11-18,12:00:00,WMT
2022-11-18 12:30:00-05:00,149.25,149.4,149.11,149.31,140665.0,3203.0,149.28032276666667,2022-11-18,12:30:00,WMT
